cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_0	6.80364e-45	8.80995e-17	1.75373e-14	1	7.87102e-16	1.73292e-15	2.64157e-27	8.80689e-15	1.55074e-17	2.13083e-14	6.67621e-25
Cell_1	3.56026e-42	1.1049e-08	4.66797e-06	9.8012e-08	0.168253	9.42599e-07	1.3276e-15	0.831739	1.7644e-12	1.73369e-06	2.10051e-12
Cell_2	6.26366e-35	1.8567e-06	0.000326957	8.08746e-06	1.78829e-05	0.00129202	2.43906e-12	5.22856e-06	0.998206	0.000142409	1.56974e-16
Cell_3	6.08381e-31	3.04095e-05	0.0043997	9.00479e-05	0.000198328	0.012247	0.000105949	0.000616953	0.537399	0.00199467	0.442918
Cell_4	1.44576e-40	4.52326e-13	3.49148e-12	1	1.89265e-13	5.93786e-13	5.62977e-18	4.70353e-12	6.65968e-31	1.62767e-10	4.17925e-12
Cell_5	6.17844e-18	4.43053e-06	0.000117048	2.39406e-06	1.53313e-05	0.000269225	1.9205e-09	2.05975e-06	0.999364	0.000225019	1.12381e-11
Cell_6	7.22611e-18	0.00269949	8.70009e-05	1.80557e-06	1.54917e-05	5.05703e-05	0.995818	0.000240293	2.70497e-11	0.00108714	3.52011e-12
Cell_7	9.81935e-34	7.98736e-07	3.69089e-05	7.90951e-07	2.74436e-06	0.000472216	1.73066e-21	3.6946e-06	6.56201e-34	7.77586e-05	0.999405
Cell_8	1.48874e-33	2.42403e-06	0.00016413	3.40628e-06	1.09441e-05	0.000714075	8.79673e-12	1.64958e-07	0.99853	0.00057475	2.6012e-11
Cell_9	2.01459e-38	1.44397e-05	0.00150079	3.70579e-05	8.20858e-05	0.00171182	5.65631e-10	1.16375e-05	0.994217	0.00242521	1.37116e-11
Cell_10	1.27098e-34	0.00122928	0.0248625	0.000506907	0.00256358	0.0307428	4.94919e-12	0.220855	4.17683e-23	0.360066	0.359174
Cell_11	4.00965e-27	1.69466e-07	0.000113174	2.3111e-06	0.168143	8.90491e-06	3.31064e-06	0.830621	0.000931801	0.000175776	2.83675e-09
Cell_12	9.14269e-15	0.00176881	1.41985e-07	2.90599e-09	6.38545e-09	2.69057e-08	0.998231	5.27194e-08	5.44896e-21	2.22898e-07	1.71714e-20
