cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_0	3.20005e-22	6.67025e-12	7.67793e-14	5.04425e-12	1
Cell_1	1.55298e-11	4.62858e-05	0.995031	0.000150703	0.00477205
Cell_2	4.92491e-09	0.293572	0.0118202	0.694541	6.6783e-05
Cell_3	0.0836775	0.221942	0.0104343	0.683898	4.87787e-05
Cell_4	5.82635e-16	1.13884e-10	1.52859e-11	9.02913e-10	1
Cell_5	4.31495e-06	0.290739	0.0213184	0.687839	9.95963e-05
Cell_6	0.958903	0.0257879	0.00058329	0.0147229	2.76499e-06
Cell_7	2.4754e-18	0.292838	0.0142857	0.692806	6.99259e-05
Cell_8	5.5696e-09	0.293126	0.0133247	0.693486	6.31637e-05
Cell_9	3.59622e-08	0.0481911	0.015926	0.935793	8.98225e-05
Cell_10	3.74927e-10	0.291769	0.0178696	0.690278	8.32178e-05
Cell_11	0.015462	0.00151407	0.974895	0.00358205	0.00454724
Cell_12	0.902562	0.0286409	0.00103251	0.0677596	4.82683e-06
Cell_13	5.28084e-09	0.13916	0.0173902	0.843365	8.45646e-05
Cell_14	2.66281e-17	0.292414	0.0157035	0.691804	7.81096e-05
Cell_15	2.51946e-16	0.291973	0.0171846	0.69076	8.18745e-05
Cell_16	0.00334132	0.0196337	0.0293668	0.947521	0.00013749
Cell_17	2.25689e-06	0.293323	0.0126535	0.693953	6.78102e-05
Cell_18	0.0130159	0.01039	0.0154906	0.961032	7.19396e-05
Cell_19	2.122e-17	3.72323e-09	0.995312	1.13944e-07	0.00468762
Cell_20	0.00127444	0.000318043	0.991772	0.00202448	0.00461126
Cell_21	4.19426e-07	0.182136	0.0131509	0.804648	6.47484e-05
Cell_22	6.05636e-10	0.293945	0.0105751	0.695426	5.37965e-05
Cell_23	0.00212829	0.00267877	0.143705	0.850799	0.000689193
Cell_24	1.58872e-05	0.29357	0.0118202	0.694538	5.54403e-05
Cell_25	0.849807	0.0398659	0.0159306	0.0943161	8.00567e-05
Cell_26	9.39566e-06	0.26544	0.106071	0.627988	0.000491899
Cell_27	0.932254	0.0199119	0.000722441	0.0471082	3.36053e-06
Cell_28	0.000924872	0.000476916	0.0155341	0.982992	7.21979e-05
Cell_29	0.77522	0.0660311	0.00251804	0.156219	1.18229e-05
Cell_30	0.129974	0.687918	0.0262964	0.155686	0.00012552
Cell_31	0.0268474	0.069087	0.0344461	0.869459	0.000161031
Cell_32	3.06407e-07	0.191513	0.352889	0.453088	0.00251006
Cell_33	1.45835e-07	0.292415	0.0157035	0.691805	7.63829e-05
Cell_34	5.72028e-06	0.289012	0.0270889	0.683755	0.000138754
Cell_35	2.4558e-12	0.293469	0.0121727	0.694299	5.92064e-05
Cell_36	3.39707e-05	0.293954	0.010516	0.695447	4.87612e-05
Cell_37	4.94829e-06	0.382447	0.00920052	0.608305	4.30274e-05
Cell_38	0.924534	0.0221607	0.000872158	0.0524285	4.2411e-06
Cell_39	8.84996e-06	0.293322	0.0126534	0.693951	6.54282e-05
Cell_40	2.99331e-17	0.087066	0.0136992	0.899171	6.42726e-05
Cell_41	5.94741e-09	0.0480937	0.0192297	0.932573	0.000103197
Cell_42	4.50967e-06	0.229976	0.0610694	0.708655	0.000295443
Cell_43	0.446626	0.162618	0.00600186	0.384726	2.80084e-05
Cell_44	5.21119e-05	3.62554e-05	0.994877	8.57744e-05	0.00494855
Cell_45	3.42377e-09	0.790518	0.00360914	0.205856	1.67773e-05
Cell_46	0.105323	0.0278158	0.0155218	0.851261	7.8836e-05
Cell_47	0.00104876	0.0057385	0.0152552	0.977879	7.81402e-05
Cell_48	2.07109e-09	0.048247	0.0148054	0.936879	6.86736e-05
Cell_49	0.155061	0.0975599	0.514139	0.230811	0.00242878
Cell_50	4.81373e-10	0.566919	0.0109272	0.422102	5.19214e-05
Cell_51	0.0318104	0.162398	0.0242198	0.781455	0.000117171
Cell_52	3.18744e-05	0.292825	0.014285	0.692774	8.44616e-05
Cell_53	0.00339359	0.284985	0.0372201	0.674228	0.000172812
Cell_54	0.0876406	0.268094	0.00995227	0.634266	4.6664e-05
Cell_55	0.107378	0.00609338	0.0145014	0.871727	0.000300259
Cell_56	1.6439e-08	0.00696494	0.0148327	0.978134	6.88003e-05
Cell_57	0.00968156	0.00458383	0.0375577	0.947998	0.00017894
