cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9
Cell_0	1.03551e-27	1.10282e-14	2.72405e-21	2.33006e-25	1	2.69488e-17	2.78555e-15	1.9334e-17	8.70754e-15	1.9759e-14
Cell_1	1.33046e-15	6.81938e-06	2.4676e-12	1.99192e-12	1.0666e-07	8.23096e-09	0.999986	2.17593e-13	1.54127e-06	5.7234e-06
Cell_2	2.22562e-12	0.00048703	5.8548e-06	1.3426e-16	5.81594e-07	1.16894e-06	4.99476e-06	0.999344	0.000130221	2.64911e-05
Cell_3	0.000238456	0.0124373	2.92337e-05	0.587753	0.000140902	4.98665e-05	0.00110086	0.387017	0.00347685	0.00775656
Cell_4	1.16487e-18	9.77523e-13	1.13288e-20	5.87321e-13	1	7.39186e-14	7.32409e-13	1.0852e-31	3.61968e-11	3.93379e-12
Cell_5	6.08611e-10	4.67874e-05	3.4301e-06	2.93441e-12	2.4846e-08	9.85776e-07	7.64162e-07	0.999887	6.0058e-05	1.36863e-06
Cell_6	0.985076	9.35675e-05	0.0117212	1.94067e-12	4.57883e-06	0.00178654	0.000195521	3.67787e-13	0.000873739	0.000248579
Cell_7	3.63033e-21	9.39854e-05	3.32627e-23	0.999742	4.47999e-07	1.10021e-06	6.68559e-06	1.18233e-34	0.000132168	2.35538e-05
Cell_8	1.40968e-12	4.2328e-05	5.29292e-07	5.01311e-12	2.39056e-09	2.8765e-07	3.2009e-08	0.999854	0.000102818	1.29781e-07
Cell_9	4.87173e-11	0.000192143	2.36993e-06	1.24662e-12	1.27787e-07	8.97304e-07	1.09937e-06	0.999592	0.000205378	5.83083e-06
Cell_10	4.22893e-12	0.0294139	4.8866e-13	0.154883	0.00622868	0.000670067	0.145677	8.41958e-25	0.318924	0.344203
Cell_11	3.05198e-06	0.00017879	3.7416e-07	3.76891e-09	2.51451e-06	1.0753e-07	0.999117	0.000374623	0.000185038	0.000138734
Cell_12	0.989706	1.86643e-07	0.00913607	2.3338e-20	4.76729e-09	0.00115758	3.71131e-08	3.78226e-21	1.93426e-07	2.62436e-07
Cell_13	1.11133e-11	0.000725333	2.9235e-05	7.02809e-11	7.21393e-06	2.54433e-05	0.000108365	0.99744	0.00128215	0.000381777
Cell_14	1.40611e-15	9.18171e-06	3.8455e-17	0.0558764	6.38958e-12	0.00901613	1.12024e-10	5.89829e-22	0.935098	3.30586e-10
Cell_15	7.54918e-21	3.65486e-05	1.11914e-22	0.999845	1.45642e-06	2.62393e-08	3.11928e-05	8.47262e-30	6.78434e-06	7.86679e-05
Cell_16	0.00286052	0.00156326	0.000350688	0.185348	0.00015283	0.000598199	0.00469044	0.756155	0.0398805	0.0084007
Cell_17	3.13359e-09	0.00216715	1.76608e-05	3.47743e-10	9.20891e-06	6.68674e-06	9.7599e-05	0.990866	0.0063934	0.000442225
Cell_18	0.000471777	0.253338	7.99753e-06	9.01269e-07	0.0108736	0.000449454	0.0992565	1.19677e-08	0.0330499	0.602552
Cell_19	2.65744e-20	2.959e-08	1.29276e-15	1.0503e-15	7.91753e-11	9.19285e-12	1	1.49315e-12	6.53324e-09	4.3263e-09
Cell_20	7.39039e-08	2.62664e-05	2.71177e-08	5.63036e-07	1.39359e-06	4.62571e-08	0.999891	1.53623e-09	3.92292e-06	7.71341e-05
Cell_21	3.84462e-10	0.0014292	2.16681e-06	4.49636e-06	0.000121604	3.69612e-06	0.00108488	0.990602	0.000396249	0.00635615
Cell_22	4.6893e-13	0.000240884	1.23358e-06	1.72031e-09	5.5128e-08	2.10423e-06	3.9209e-07	0.998657	0.00109542	2.78884e-06
Cell_23	7.19584e-05	0.00587736	8.8218e-06	0.00400342	9.5295e-06	7.67762e-06	0.0020178	0.984312	0.00317998	0.000511354
Cell_24	3.83429e-08	0.000126123	2.18375e-05	1.63927e-07	2.2697e-06	1.90052e-05	2.34802e-05	0.997397	0.00228597	0.000124534
Cell_25	0.923241	0.000703846	0.0577476	3.10626e-16	1.8578e-08	0.00750976	3.75414e-06	0.0010466	0.0097468	9.51379e-07
Cell_26	1.56439e-05	0.00345318	0.000287332	1.73833e-08	8.01356e-05	0.958428	0.0175478	1.0586e-10	0.0157409	0.004447
Cell_27	0.986993	7.44921e-19	0.0101033	6.99725e-23	5.43063e-21	0.0029036	4.32672e-20	1.21994e-29	2.66042e-19	3.00446e-19
Cell_28	0.000345027	0.00206279	3.18498e-06	0.979559	0.000271239	5.4329e-06	0.00234852	5.37702e-17	0.000385601	0.0150188
Cell_29	0.970696	2.59768e-07	0.0108296	7.03793e-07	2.75486e-09	0.0184731	2.48727e-08	9.73544e-17	1.03563e-07	1.50994e-07
Cell_30	3.43416e-05	0.000998331	5.82157e-07	0.998409	9.02751e-08	9.93036e-07	1.92057e-05	1.02349e-07	0.000532284	4.86713e-06
Cell_31	0.00140711	0.0294747	8.80129e-05	0.909989	0.00028774	0.000150131	0.0124589	0.00327074	0.0270338	0.0158399
Cell_32	2.95292e-10	0.0248387	2.61699e-10	0.0558564	0.00113757	0.000175267	0.837494	6.90343e-13	0.0393401	0.0411579
Cell_33	1.83694e-10	5.98231e-05	2.67051e-12	0.999564	4.59284e-06	1.78851e-06	8.23433e-05	1.61396e-15	4.45984e-05	0.000242998
Cell_34	5.39057e-09	0.000583008	5.02178e-11	0.998306	5.88321e-06	3.90712e-06	0.000232492	3.90111e-21	0.00057326	0.000295583
Cell_35	9.61239e-15	0.0296132	1.51049e-08	6.53006e-17	0.00926758	0.00103437	0.099117	6.24324e-08	0.370619	0.490348
Cell_36	1.93152e-08	0.000119848	1.10006e-05	4.95161e-12	4.01165e-06	2.56734e-06	3.07996e-05	0.999533	7.60692e-05	0.000222649
