cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_0	7.76615e-12	0.0461306	0.0418401	0.620179	7.80844e-05	0.000897287	0.0104703	0.280405
Cell_1	2.00241e-21	7.9926e-08	1.90784e-07	0.841362	0.0554694	2.57811e-14	0.0343911	0.068777
Cell_2	1.92948e-36	1.82788e-12	2.25571e-13	0.0479346	0.849029	2.11102e-18	0.00999303	0.0930432
Cell_3	0.99936	0.000129689	0.000182163	7.77594e-05	0.00021274	1.99812e-13	2.34552e-05	1.4574e-05
Cell_4	2.6197e-24	2.868e-06	3.63624e-07	0.000278417	0.999237	4.93932e-16	0.000174414	0.000307086
Cell_5	0.99467	0.000148692	0.000134862	5.38841e-05	0.0048748	1.55188e-14	1.7951e-05	0.000100017
Cell_6	2.62678e-23	4.78222e-09	1.43526e-09	0.723997	7.3399e-05	9.95154e-19	0.0394373	0.236492
Cell_7	0.996497	0.000130325	1.64772e-05	3.73838e-05	0.00329594	1.33812e-18	1.80673e-05	5.21745e-06
Cell_8	2.36519e-15	4.28962e-07	5.29888e-08	5.54235e-05	0.999621	8.90982e-20	2.90206e-05	0.000294235
Cell_9	9.19013e-25	1.77415e-06	2.18714e-07	0.705548	0.0612669	1.47538e-21	0.217757	0.0154265
Cell_10	0.991036	0.000217098	2.672e-05	0.00014646	0.00839779	9.7146e-19	8.61625e-05	8.9899e-05
Cell_11	0.991575	0.000129196	0.00824859	2.61711e-05	6.39889e-06	3.46712e-10	1.44588e-05	6.46259e-07
Cell_12	0.999522	0.000129597	1.84889e-05	0.000304679	1.27139e-09	2.28639e-34	1.95985e-05	5.90411e-06
Cell_13	8.74242e-08	0.0231353	0.0552241	0.36697	0.01898	1.23009e-10	0.0706433	0.465047
Cell_14	0.999143	0.000130435	0.000610245	3.96489e-05	2.16397e-05	4.78244e-11	2.15231e-05	3.39663e-05
Cell_15	3.90268e-05	0.00057013	0.000267044	0.021903	0.962949	8.77837e-14	0.00597975	0.00829192
Cell_16	2.04021e-37	0.0689568	0.322617	0.0849356	0.477672	9.37079e-21	0.044895	0.000923864
Cell_17	1.09097e-13	2.92015e-09	1.3662e-08	0.844988	0.000139852	6.28696e-14	0.0109535	0.143919
Cell_18	1.18993e-11	7.07897e-08	3.31192e-07	0.000172876	0.99933	2.51746e-08	9.03238e-05	0.000406272
Cell_19	1.50235e-15	3.52322e-13	4.71491e-14	0.400105	0.0447196	1.99771e-25	0.101036	0.45414
Cell_20	3.97829e-38	6.69911e-11	1.15779e-11	0.00341561	0.994296	2.35331e-24	0.0019567	0.000331795
Cell_21	8.31905e-10	0.141237	0.0178567	0.758249	0.000763336	1.08329e-20	0.0387871	0.0431069
Cell_22	0.999492	0.000129913	1.65841e-05	5.24281e-05	0.000271753	7.29267e-16	3.11514e-05	6.04642e-06
Cell_23	3.91094e-15	9.49156e-09	4.44577e-09	0.000145678	0.999184	1.6549e-19	5.70518e-05	0.000613319
Cell_24	1.90171e-25	8.40716e-06	1.17506e-06	0.000158146	0.999004	3.83197e-05	9.08569e-05	0.000698986
Cell_25	1.42565e-20	9.77643e-06	8.86714e-06	0.618395	0.0695923	2.89488e-14	0.0554466	0.256548
Cell_26	6.27136e-15	0.00481016	0.0225045	0.196842	0.649516	5.0686e-11	0.0246183	0.101709
Cell_27	2.42264e-30	6.46932e-12	8.01188e-13	0.760564	0.000309899	4.09804e-18	0.0469121	0.192214
Cell_28	3.88664e-17	4.71811e-05	0.999919	2.38513e-05	2.49006e-07	7.29002e-09	4.4056e-06	5.70418e-06
Cell_29	1.71696e-32	1.3193e-13	2.06242e-14	0.667927	1.72507e-13	1.39146e-23	0.000884263	0.331189
Cell_30	4.32239e-34	1.9156e-15	2.35689e-16	0.0986201	0.653992	5.37278e-22	0.0396227	0.207765
Cell_31	1.55079e-25	8.95234e-05	1.19804e-05	0.0333816	0.94762	8.81034e-20	0.0109148	0.00798232
Cell_32	3.56628e-23	8.49313e-13	1.46784e-13	0.634595	9.18265e-06	8.35391e-24	0.00790708	0.357489
Cell_33	1.33487e-36	1.60622e-09	3.23632e-10	0.0134422	0.963391	8.43048e-20	0.00480915	0.0183572
Cell_34	6.93274e-41	9.80818e-13	8.89594e-13	0.618435	0.123296	3.0807e-23	0.0944352	0.163834
Cell_35	4.05378e-49	2.25576e-11	3.16848e-11	0.123224	0.00496455	8.88507e-24	0.00244138	0.86937
Cell_36	2.27677e-26	7.48875e-07	1.05188e-06	0.621663	0.000431487	1.17651e-30	0.0108228	0.367081
Cell_37	2.6491e-16	4.67572e-07	1.04688e-07	0.0736803	0.882473	8.19611e-12	0.015641	0.0282049
Cell_38	2.87201e-32	0.0063521	0.00892226	0.651458	0.0237427	0.2389	0.0674526	0.00317252
Cell_39	8.77615e-32	9.10566e-11	1.12602e-11	0.441479	0.0348189	1.10804e-26	0.0722426	0.451459
Cell_40	3.94535e-24	2.77594e-07	1.01751e-07	0.0424766	0.824997	5.90294e-20	0.0064953	0.126031
Cell_41	1.58948e-33	5.66091e-14	8.84952e-15	0.0118322	0.975156	5.86209e-23	0.00593081	0.007081
Cell_42	1.09436e-44	4.45815e-30	6.5196e-31	0.304544	0.496766	2.6014e-47	0.170546	0.0281433
Cell_43	8.99293e-27	2.52045e-14	6.01634e-14	0.00584395	0.988917	3.73444e-19	0.00268047	0.00255881
Cell_44	2.15094e-25	1.22227e-08	1.71681e-08	0.0365356	0.935544	2.43821e-31	0.0142696	0.0136512
Cell_45	7.0755e-09	0.000134221	2.09824e-05	0.000582473	0.998456	2.52691e-14	0.000339286	0.000467124
Cell_46	1.52108e-19	4.66382e-05	0.999094	0.000807138	3.90689e-09	4.67912e-12	8.21312e-06	4.40541e-05
Cell_47	4.99609e-21	3.09734e-08	1.45077e-08	0.00057406	0.998842	8.72671e-25	0.000328748	0.000255495
Cell_48	8.53103e-25	2.35366e-17	2.13475e-17	0.982083	4.07883e-06	1.89594e-23	0.00590865	0.0120039
Cell_49	5.9613e-41	2.99528e-16	3.77757e-17	0.0169937	0.959455	8.97615e-25	0.00883492	0.0147168
Cell_50	7.8619e-24	0.000346138	0.000126875	0.00891399	0.912157	0.0733933	0.00269612	0.00236616
Cell_51	2.09503e-36	8.15738e-21	1.07121e-21	0.627462	1.5256e-05	3.10709e-32	0.026718	0.345804
Cell_52	1.16527e-30	7.49998e-11	9.23675e-12	0.0226311	0.945289	1.29101e-25	0.0129424	0.0191379
Cell_53	6.54193e-38	4.88952e-10	7.24165e-09	0.93402	4.20851e-05	6.28079e-21	0.0331133	0.0328242
Cell_54	7.58652e-26	0.0171285	0.0801363	0.0100813	7.03847e-05	0.88973	0.00253977	0.000314036
Cell_55	6.28215e-17	1.16648e-08	5.46371e-09	0.574181	0.265564	3.55557e-18	0.0837019	0.0765526
Cell_56	7.01602e-17	8.80209e-08	1.49178e-05	0.00928016	0.986283	2.23458e-07	0.00341872	0.00100339
Cell_57	1.72971e-34	3.31718e-09	4.17435e-10	0.585783	0.0150079	8.30953e-22	0.0569348	0.342274
Cell_58	1.636e-18	3.01191e-10	7.68669e-11	0.955075	7.83439e-06	5.64507e-39	0.0141445	0.0307724
Cell_59	5.9693e-13	1.05427e-08	1.7239e-09	0.000829558	0.998133	1.50451e-20	0.000541484	0.000496335
Cell_60	2.47611e-20	4.68974e-08	1.719e-08	0.000479924	0.999095	6.95195e-17	0.00033215	9.30203e-05
Cell_61	6.58163e-19	1.84202e-07	4.39691e-07	0.221716	0.700657	3.31555e-10	0.0769147	0.000711796
Cell_62	8.83236e-37	4.31173e-19	6.05633e-19	0.198176	0.517048	2.41556e-21	0.0830201	0.201756
Cell_63	2.34142e-13	2.70734e-06	4.07996e-07	0.160861	0.760737	4.34193e-18	0.0660345	0.0123639
Cell_64	2.34683e-27	9.28242e-16	1.71799e-16	0.61095	0.0347464	1.65152e-24	0.106355	0.247949
Cell_65	1.20623e-13	5.98692e-06	1.42908e-05	0.690735	0.0121812	1.39354e-14	0.0279294	0.269134
Cell_66	2.09337e-24	1.46512e-14	5.37034e-15	0.426134	0.272695	4.24211e-26	0.0517511	0.24942
Cell_67	1.08303e-18	2.84517e-07	2.58055e-07	0.00391159	0.984631	1.57153e-18	0.000712751	0.0107437
Cell_68	6.32086e-14	2.74292e-08	3.83374e-09	0.0035403	0.989479	4.24859e-28	0.00207952	0.00490152
Cell_69	4.95561e-39	1.31934e-06	1.6781e-07	0.525666	0.00563447	1.77842e-17	0.0943069	0.374391
Cell_70	1.1984e-31	1.75206e-11	3.02804e-12	0.900389	1.04934e-05	2.59067e-24	0.0526138	0.0469865
Cell_71	1.71818e-15	0.000567192	0.000144753	0.00760178	0.988029	2.0172e-13	0.00280354	0.000853926
Cell_72	5.23134e-15	4.01558e-06	8.09085e-07	0.000185339	0.99938	1.12575e-24	0.000101532	0.000328368
Cell_73	1.66638e-15	0.000122094	0.000699232	0.00151236	0.972038	0.0243282	0.000601489	0.000699029
Cell_74	3.26281e-21	1.35887e-06	3.24363e-06	0.604917	0.291682	1.52907e-38	0.0996241	0.00377225
Cell_75	0.983105	0.000157115	2.03488e-05	0.000145122	0.0164761	4.52489e-13	9.28296e-05	3.38703e-06
Cell_76	5.12331e-43	1.34906e-06	2.03303e-07	0.00145754	0.997433	3.79878e-23	0.000867803	0.000240453
Cell_77	4.30644e-27	3.98891e-11	5.23814e-12	0.58669	0.00046203	1.86979e-18	0.0662114	0.346637
Cell_78	2.59369e-23	8.76478e-06	2.63052e-06	0.0154957	0.969379	5.48478e-12	0.00987334	0.00524054
Cell_79	1.47424e-08	0.00999151	0.0140342	0.00296388	0.970436	1.24859e-12	0.00174222	0.000832379
Cell_80	3.23661e-10	0.000189243	4.23711e-05	0.468886	0.209207	3.16845e-10	0.0786662	0.24301
Cell_81	2.67957e-15	1.26773e-07	1.5605e-08	0.838551	2.41296e-07	2.2184e-18	0.115211	0.0462376
Cell_82	1.67047e-26	2.04272e-07	3.07838e-08	0.000568518	0.998837	1.96735e-17	0.000434974	0.000158993
Cell_83	4.30312e-29	3.07949e-15	6.20476e-16	0.533777	0.013428	7.06603e-21	0.0344652	0.41833
Cell_84	2.1967e-29	6.06793e-18	7.47659e-19	0.418874	0.0252805	3.695e-30	0.137515	0.41833
Cell_85	7.0793e-16	0.000342069	0.989235	0.0088229	1.2163e-08	5.68611e-10	3.57275e-05	0.00156478
Cell_86	4.0205e-32	1.65118e-06	1.04271e-06	0.000764468	0.998602	4.01512e-17	0.000429766	0.000201059
Cell_87	5.46814e-10	0.00272867	0.00100018	0.0242757	0.95834	5.98593e-12	0.0130238	0.000631651
Cell_88	5.81548e-05	0.173998	0.415334	0.12404	0.168633	1.67772e-07	0.0311812	0.0867561
Cell_89	2.65322e-27	3.14464e-10	3.87188e-11	0.347344	0.287197	7.49541e-24	0.15874	0.206719
Cell_90	2.40404e-20	2.01957e-08	6.06121e-09	0.000151898	0.999038	3.39067e-20	7.24282e-05	0.000737384
Cell_91	4.91756e-20	0.000365618	0.000513553	0.737059	0.0159354	7.86653e-15	0.181737	0.0643895
Cell_92	9.67788e-08	4.38303e-07	6.15647e-07	0.0364673	0.942147	6.99649e-16	0.00542449	0.0159602
Cell_93	1.03825e-23	2.63957e-13	6.30067e-13	0.0540485	1.16772e-06	9.69825e-22	9.95694e-05	0.945851
Cell_94	1.90417e-25	2.19711e-11	1.02793e-10	0.480471	0.104375	1.59683e-20	0.0950271	0.320127
Cell_95	1.3777e-45	7.24438e-16	9.03424e-17	0.382086	0.00830876	6.77025e-27	0.073446	0.536159
Cell_96	0.999777	0.000129639	1.60623e-05	4.06439e-05	1.64267e-05	1.89419e-17	1.85533e-05	1.54984e-06
Cell_97	0.866966	0.000117628	1.48349e-05	1.99875e-05	0.132846	1.92697e-23	1.05547e-05	2.46576e-05
Cell_98	1.19779e-31	5.25862e-07	6.60453e-08	0.25005	0.426577	6.84798e-15	0.0740809	0.249292
Cell_99	5.78254e-32	2.21893e-11	3.83492e-12	0.595093	0.0676244	5.91852e-23	0.0936794	0.243604
Cell_100	8.93919e-08	1.16298e-11	1.05481e-11	0.125691	0.000431982	1.2409e-20	0.002283	0.871594
Cell_101	1.28827e-24	1.62732e-14	5.96486e-15	0.0295095	0.943643	2.31372e-29	0.01036	0.0164878
Cell_102	2.01334e-19	0.000267912	3.74456e-05	0.000981388	0.984692	4.07051e-16	0.000228702	0.0137926
Cell_103	1.16902e-29	5.68099e-08	8.56126e-09	0.740303	3.52037e-05	2.92008e-20	0.0313504	0.228311
Cell_104	3.96415e-20	0.00103781	0.000941282	0.0104642	0.979919	3.91462e-18	0.00644261	0.00119495
Cell_105	1.66984e-14	3.56617e-13	4.40162e-14	0.0348587	0.906879	5.61338e-14	0.010086	0.0481768
Cell_106	1.22247e-26	9.80132e-06	1.36992e-06	0.563909	0.120334	5.26513e-25	0.145537	0.170209
Cell_107	2.972e-19	1.60831e-13	7.5332e-14	0.570325	2.91119e-06	3.02054e-25	0.00223163	0.42744
Cell_108	0.998567	0.000131281	1.77817e-05	4.616e-05	0.00118274	4.08071e-14	1.49986e-05	4.00991e-05
Cell_109	6.95531e-20	7.67412e-08	1.95851e-08	0.0528998	0.926778	2.24918e-28	0.00787333	0.0124489
Cell_110	2.79155e-27	1.44275e-11	1.30856e-11	0.439633	0.0165368	1.86088e-23	0.0186744	0.525156
