cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_0	1.4569e-11	0.178753	7.76415e-14	0.44321	0.250077	0.12796
Cell_1	3.73119e-22	8.12174e-08	1.98844e-24	0.108547	0.891453	2.20214e-08
Cell_2	1.08439e-36	2.79771e-13	1.45912e-26	0.0897132	0.910287	1.52204e-12
Cell_3	0.99874	0.000394446	0.000282517	0.000263268	0.000137729	0.000181996
Cell_4	3.24966e-23	9.96481e-06	3.60555e-17	0.0298878	0.97005	5.27109e-05
Cell_5	0.997309	0.000293181	0.000325279	0.000209297	0.00165317	0.000209874
Cell_6	3.69503e-23	4.55886e-09	9.65649e-18	0.9884	0.0115997	9.96684e-09
Cell_7	0.998838	3.45811e-05	0.000284834	0.00022551	0.000433229	0.000183458
Cell_8	2.20658e-14	1.091e-06	1.44119e-09	0.00336592	0.996627	5.92931e-06
Cell_9	3.29169e-25	1.72874e-07	4.76253e-18	0.985795	0.0142038	9.41503e-07
Cell_10	0.997591	5.67065e-05	0.000471842	0.000748176	0.00082309	0.000309356
Cell_11	0.981603	0.0177516	0.000278746	0.000185639	1.00247e-06	0.000179605
Cell_12	0.999229	3.88637e-05	0.000282434	0.000267203	8.46659e-08	0.000181922
Cell_13	6.68908e-08	0.0966321	3.64797e-10	0.830303	0.0468641	0.026201
Cell_14	0.997996	0.00132261	0.000284028	0.000210096	4.49248e-06	0.000182966
Cell_15	7.44435e-05	0.00111747	0.00239028	0.132835	0.862026	0.00155655
Cell_16	1.39714e-37	0.488525	1.17495e-35	0.41034	0.0335537	0.0675813
Cell_17	2.987e-13	8.27551e-08	1.73655e-08	0.606841	0.393159	1.14481e-08
Cell_18	1.26924e-10	8.0708e-06	6.76409e-13	0.011022	0.988969	1.11649e-06
Cell_19	1.04153e-15	7.23057e-14	1.1074e-14	0.94979	0.0502102	3.61635e-13
Cell_20	2.82593e-37	1.83531e-10	2.27204e-28	0.164666	0.835334	7.05005e-10
Cell_21	7.65832e-10	0.0362387	4.0813e-12	0.711002	0.0605071	0.192252
Cell_22	0.999086	3.4719e-05	0.000282987	0.000381708	3.19505e-05	0.000182355
Cell_23	2.20244e-14	5.67406e-08	1.17373e-16	0.0038076	0.996192	7.90357e-08
Cell_24	1.77517e-24	2.4318e-05	1.6809e-20	0.00961741	0.990242	0.000116273
Cell_25	6.32169e-21	8.97245e-06	1.43484e-18	0.43422	0.565765	6.42294e-06
Cell_26	1.98264e-15	0.0162868	7.0003e-13	0.109785	0.871675	0.00225308
Cell_27	2.92887e-30	2.13787e-12	2.49229e-21	0.966739	0.0332611	1.15879e-11
Cell_28	1.69786e-17	0.999939	9.04828e-20	3.04878e-05	4.50315e-07	3.0476e-05
Cell_29	8.51499e-31	2.27595e-12	4.0132e-27	0.99996	3.99773e-05	9.69396e-12
Cell_30	4.86142e-34	5.84927e-16	2.35189e-27	0.648636	0.351364	3.19211e-15
Cell_31	3.10793e-25	5.31477e-05	1.00197e-18	0.312526	0.687155	0.000265817
Cell_32	1.61415e-22	1.47971e-12	8.60221e-25	0.804493	0.195507	5.68409e-12
Cell_33	2.88156e-36	1.56528e-09	5.38195e-30	0.137004	0.862996	5.13721e-09
Cell_34	3.19008e-41	9.34107e-13	8.43081e-29	0.685243	0.314757	6.68681e-13
Cell_35	8.05627e-50	1.39101e-11	6.69214e-42	0.00703622	0.992964	6.41804e-12
Cell_36	3.40794e-26	3.5995e-06	5.13985e-18	0.384134	0.615861	1.66079e-06
Cell_37	1.09167e-16	9.66948e-08	5.81777e-19	0.112799	0.8872	2.84907e-07
Cell_38	1.8613e-32	0.0129537	6.325e-29	0.855872	0.125198	0.00597676
Cell_39	5.6468e-32	1.59902e-11	3.60323e-25	0.857665	0.142335	8.68047e-11
Cell_40	1.47223e-24	8.59811e-08	6.55747e-19	0.0356042	0.964396	1.53473e-07
Cell_41	5.30161e-33	6.56802e-14	9.3663e-25	0.285255	0.714745	2.79752e-13
Cell_42	5.5081e-45	7.2741e-31	4.21994e-37	0.968651	0.0313487	3.31902e-30
Cell_43	2.75529e-26	4.21971e-13	3.39417e-19	0.127671	0.872329	1.14414e-13
Cell_44	3.47152e-25	6.33459e-08	4.5959e-22	0.343239	0.656761	2.92275e-08
Cell_45	9.81047e-08	0.000640123	4.64017e-11	0.0508455	0.945788	0.00272648
Cell_46	6.63693e-20	0.999897	2.65349e-13	6.8121e-05	5.13257e-06	3.01503e-05
Cell_47	5.76992e-20	3.80481e-07	8.4355e-16	0.0405239	0.959475	5.29984e-07
Cell_48	4.42088e-24	2.47768e-16	1.25396e-27	0.685626	0.314374	1.77365e-16
Cell_49	2.26309e-40	3.16742e-16	2.1771e-29	0.439164	0.560836	1.6847e-15
Cell_50	1.26567e-23	0.000462538	6.0306e-16	0.0720929	0.926619	0.000825614
Cell_51	4.14658e-36	4.69005e-21	6.82065e-34	0.991098	0.00890219	2.39213e-20
Cell_52	3.87704e-30	6.78163e-11	2.05139e-26	0.574212	0.425788	3.69717e-10
Cell_53	9.79735e-38	2.48689e-08	1.34777e-25	0.979239	0.0207606	1.08493e-09
Cell_54	3.11291e-25	0.752726	1.10268e-16	0.142716	0.000427512	0.10413
Cell_55	2.51483e-17	4.96637e-09	3.07313e-11	0.587908	0.412092	6.9178e-09
Cell_56	2.64177e-16	0.000127794	1.72728e-19	0.148886	0.850986	4.87061e-07
Cell_57	1.69945e-34	8.9646e-10	3.55309e-20	0.799966	0.200034	4.77904e-09
Cell_58	5.50517e-18	5.81269e-10	2.93383e-20	0.949795	0.050205	1.49862e-09
Cell_59	6.1265e-12	3.93441e-08	3.26496e-14	0.060534	0.939466	1.59995e-07
Cell_60	4.04152e-19	6.35373e-07	3.54055e-15	0.0691498	0.930848	1.13412e-06
Cell_61	5.38646e-19	8.23762e-07	7.52674e-17	0.864679	0.13532	2.23356e-07
Cell_62	5.83864e-37	9.15269e-19	1.47517e-29	0.838735	0.161265	4.223e-19
Cell_63	1.99494e-13	7.58288e-07	5.64757e-17	0.789862	0.210134	3.35424e-06
Cell_64	1.51226e-27	2.47493e-16	8.50709e-29	0.936096	0.0639042	8.86136e-16
Cell_65	4.97148e-14	1.34563e-05	2.64942e-16	0.207625	0.792357	3.64857e-06
Cell_66	9.94108e-25	5.77414e-15	2.90877e-26	0.346271	0.653729	1.03066e-14
Cell_67	4.12663e-19	2.23926e-07	2.19918e-21	0.00482281	0.995177	1.60298e-07
Cell_68	4.08667e-13	5.4915e-08	7.83853e-09	0.15803	0.84197	2.62569e-07
Cell_69	3.15503e-39	2.3231e-07	1.08235e-16	0.980049	0.0199497	1.22479e-06
Cell_70	1.1841e-31	6.67709e-12	2.96324e-27	0.999035	0.000965333	2.5649e-11
Cell_71	5.17028e-15	0.000980833	8.6018e-13	0.139885	0.856606	0.00252878
Cell_72	6.72203e-14	2.32928e-05	2.3235e-14	0.0139449	0.985955	7.64461e-05
Cell_73	1.082e-14	0.0104049	1.59952e-12	0.0491883	0.939232	0.00117447
Cell_74	1.60395e-21	3.65018e-06	5.66321e-19	0.718546	0.281449	9.89714e-07
Cell_75	0.9974	4.34138e-05	0.000348426	0.000960616	0.0010233	0.000224627
Cell_76	4.83792e-42	4.13326e-06	8.04272e-33	0.123265	0.876713	1.82832e-05
Cell_77	3.45965e-27	9.3088e-12	1.45102e-18	0.991545	0.00845491	4.7479e-11
Cell_78	9.46232e-23	2.16697e-05	5.37012e-21	0.492133	0.507798	4.73756e-05
Cell_79	7.79445e-08	0.169633	8.34239e-06	0.137791	0.6143	0.0782677
Cell_80	1.74024e-10	5.11645e-05	8.31371e-11	0.701935	0.297863	0.000150754
Cell_81	1.43475e-15	1.84374e-08	5.96727e-16	0.999997	2.73476e-06	1.0057e-07
Cell_82	1.80435e-25	7.39038e-07	2.6016e-14	0.0621641	0.937832	3.26908e-06
Cell_83	3.30836e-29	1.06883e-15	4.82927e-20	0.459813	0.540187	3.50785e-15
Cell_84	1.1513e-29	8.62978e-19	6.13558e-32	0.97975	0.0202495	4.70244e-18
Cell_85	3.12327e-16	0.999052	1.66446e-18	0.000388146	0.000336286	0.000223149
Cell_86	3.24366e-31	1.91534e-05	1.01982e-24	0.0487999	0.951161	1.97372e-05
Cell_87	1.85367e-09	0.00767799	7.1499e-07	0.569892	0.408725	0.013705
Cell_88	2.67879e-05	0.422933	0.177957	0.196131	0.0882773	0.114675
Cell_89	1.09269e-27	3.51867e-11	1.81214e-20	0.943958	0.0560421	1.91879e-10
Cell_90	2.05048e-19	1.16736e-07	1.72439e-17	0.00780423	0.992195	2.55215e-07
Cell_91	1.7886e-20	0.000427024	5.51477e-17	0.991446	0.00793042	0.000197027
Cell_92	3.88967e-08	5.46285e-07	3.90755e-07	0.0279051	0.972094	2.52053e-07
Cell_93	3.88538e-23	5.39762e-12	1.07141e-19	0.00941454	0.990585	1.46352e-12
Cell_94	1.32036e-25	1.63167e-10	3.18681e-23	0.861772	0.138228	2.25721e-11
Cell_95	1.41063e-45	1.99528e-16	2.46492e-40	0.974408	0.0255917	1.07373e-15
Cell_96	0.999242	3.35816e-05	0.000282472	0.000254847	5.18512e-06	0.000181938
Cell_97	0.986706	3.53721e-05	0.000292055	0.000152265	0.0126262	0.000188139
Cell_98	8.10791e-32	9.8632e-08	8.28664e-18	0.741435	0.258564	5.26878e-07
Cell_99	3.03259e-32	4.48838e-12	6.36692e-24	0.802025	0.197975	1.72414e-11
Cell_100	1.87684e-07	4.78988e-11	5.32233e-11	0.0957873	0.904212	3.42884e-11
Cell_101	1.58386e-24	1.65736e-14	8.44079e-27	0.209197	0.790803	2.95834e-14
Cell_102	1.58222e-19	6.52415e-05	2.10769e-14	0.00286824	0.996755	0.000311944
Cell_103	2.0136e-29	3.27755e-08	3.5523e-20	0.983566	0.0164339	1.4498e-07
Cell_104	2.64912e-19	0.0143542	1.46278e-15	0.496213	0.479157	0.0102755
Cell_105	1.89187e-14	1.09587e-13	2.37875e-17	0.209065	0.790935	5.96083e-13
Cell_106	5.1123e-27	1.27011e-06	2.39437e-21	0.910992	0.0890003	6.07289e-06
Cell_107	1.89593e-18	1.08912e-12	1.01039e-20	0.362194	0.637806	1.51707e-12
Cell_108	0.998755	3.73374e-05	0.000286325	0.00017654	0.000559876	0.000184423
Cell_109	3.70742e-20	2.35042e-08	1.48767e-21	0.0575343	0.942466	6.05983e-08
Cell_110	1.18839e-27	1.2712e-11	4.97335e-21	0.156241	0.843759	9.09989e-12
Cell_111	2.02402e-30	4.53951e-12	2.04206e-23	0.568762	0.431238	6.32322e-12
Cell_112	3.85396e-46	2.17118e-09	4.09271e-25	0.461604	0.538396	3.02431e-09
Cell_113	1.3255e-54	6.85527e-13	1.3208e-45	0.119224	0.880776	1.85875e-13
Cell_114	1.19962e-40	8.85906e-07	3.93823e-35	0.390684	0.609311	4.80762e-06
Cell_115	1.25279e-31	1.36773e-08	2.64992e-26	0.01954	0.98046	7.38162e-08
Cell_116	4.34334e-29	1.79973e-06	2.86661e-20	0.232581	0.767417	8.30387e-07
Cell_117	0.999222	4.7358e-05	0.000282439	0.000260184	6.36793e-06	0.000181919
Cell_118	1.05669e-18	4.49884e-05	2.21685e-18	0.0096984	0.990176	8.03027e-05
Cell_119	7.06357e-20	3.31759e-13	4.35427e-16	0.118127	0.881873	4.58946e-14
Cell_120	1.48153e-28	1.26566e-09	2.69357e-21	0.0139648	0.986035	6.15957e-09
Cell_121	2.53343e-16	2.77073e-09	2.56384e-18	0.0131284	0.986872	1.45528e-08
Cell_122	1.10993e-43	7.51432e-08	7.16266e-43	0.201724	0.798275	1.03951e-08
Cell_123	1.91608e-12	0.000207902	3.18107e-15	0.861942	0.137635	0.000214239
Cell_124	8.75004e-24	1.58161e-09	1.64176e-20	0.0291067	0.970893	3.45782e-09
Cell_125	5.37216e-28	1.77504e-09	1.22781e-19	0.48004	0.51996	9.44116e-09
Cell_126	1.44679e-19	0.00191867	2.72169e-15	0.45743	0.533281	0.00737027
Cell_127	9.19583e-17	7.34604e-05	3.53552e-14	0.00609898	0.993429	0.000398349
Cell_128	1.41319e-22	7.28529e-10	2.22329e-20	0.996726	0.00327359	3.2226e-09
Cell_129	3.10613e-26	2.3623e-15	1.68612e-24	0.985672	0.0143277	1.19407e-14
Cell_130	4.93634e-18	5.76123e-07	1.1382e-16	0.984559	0.0154382	2.69684e-06
Cell_131	2.19551e-49	9.59921e-11	1.92958e-29	0.855473	0.144527	1.32793e-11
Cell_132	0.997086	4.27021e-05	0.000282386	0.000233281	0.00217343	0.000181881
Cell_133	1.96579e-23	0.000402594	1.09549e-18	0.907954	0.0894648	0.00217885
Cell_134	5.19219e-21	1.03439e-06	9.41843e-16	0.580326	0.419671	1.84635e-06
Cell_135	0.99916	4.11696e-05	0.000282733	0.000176397	0.000157329	0.000182111
Cell_136	3.93393e-14	0.000290168	2.19959e-12	0.0109887	0.987769	0.000952321
Cell_137	6.93719e-36	3.80078e-09	5.6267e-31	0.308638	0.691362	1.46001e-08
Cell_138	1.88938e-30	5.63189e-13	8.01267e-23	0.949798	0.0502018	3.01882e-12
Cell_139	1.83732e-13	1.63724e-08	9.79151e-16	0.0415827	0.958417	5.37336e-08
Cell_140	0.9988	7.25221e-05	0.000290157	0.000518019	0.000132318	0.000186976
