cell	Node 0	Node 1	Node 2	Node 3
Cell_0	1.35236e-11	0.561149	0.01614	0.422712
Cell_1	2.97561e-21	0.802875	0.0607747	0.13635
Cell_2	7.44949e-24	0.23502	0.000919734	0.76406
Cell_3	0.989849	0.00759848	0.000338458	0.00221453
Cell_4	7.54392e-14	0.313755	0.0012615	0.684983
Cell_5	0.972531	0.00514215	0.0001479	0.0221789
Cell_6	1.73587e-15	0.689772	0.00656488	0.303664
Cell_7	0.990856	0.00702593	2.81694e-05	0.00209
Cell_8	5.77619e-06	0.0705104	0.00027621	0.929208
Cell_9	8.9863e-16	0.950811	0.00371707	0.0454715
Cell_10	0.968665	0.015637	6.10316e-05	0.0156373
Cell_11	0.98465	0.00501124	0.0101461	0.000193113
Cell_12	0.991908	0.00787665	3.56352e-05	0.000179331
Cell_13	3.02041e-08	0.334829	0.0253453	0.639826
Cell_14	0.984801	0.00620968	0.000921299	0.00806822
Cell_15	0.62865	0.203058	0.00301613	0.165276
Cell_16	3.82192e-33	0.855753	0.126964	0.0172838
Cell_17	4.76827e-06	0.703297	0.104345	0.192354
Cell_18	1.46316e-09	0.168804	0.0250446	0.806151
Cell_19	8.32957e-13	0.360746	0.00153093	0.637723
Cell_20	1.92895e-25	0.813923	0.00446084	0.181616
Cell_21	7.03969e-10	0.910657	0.00365115	0.0856917
Cell_22	0.987146	0.0106063	4.29365e-05	0.00220465
Cell_23	3.59311e-13	0.125706	0.00186718	0.872427
Cell_24	2.79669e-17	0.0854002	0.00037852	0.914221
Cell_25	4.28696e-16	0.553231	0.0159122	0.430857
Cell_26	4.62669e-10	0.456822	0.0677764	0.475402
Cell_27	4.64922e-19	0.701026	0.00275316	0.296221
Cell_28	5.4686e-16	0.00148496	0.998004	0.000511162
Cell_29	7.29315e-25	0.638779	0.00316669	0.358054
Cell_30	1.83611e-25	0.25657	0.00100106	0.742429
Cell_31	4.048e-16	0.681237	0.00289103	0.315872
Cell_32	1.4749e-22	0.556904	0.0030522	0.440044
Cell_33	2.00919e-27	0.261674	0.00167197	0.736654
Cell_34	1.78025e-26	0.673171	0.019362	0.307467
Cell_35	1.16309e-38	0.0653676	0.00291166	0.931721
Cell_36	1.67844e-15	0.505816	0.0225305	0.471653
Cell_37	8.01938e-16	0.593963	0.00421725	0.401819
Cell_38	1.49927e-26	0.950414	0.0423342	0.00725138
Cell_39	4.41683e-23	0.382423	0.00149969	0.616077
Cell_40	4.65932e-16	0.121601	0.00141346	0.876986
Cell_41	3.4379e-22	0.489202	0.00242518	0.508372
Cell_42	4.12269e-35	0.814687	0.00377814	0.181535
Cell_43	1.99134e-16	0.524288	0.0396867	0.436025
Cell_44	1.72171e-19	0.57979	0.0258255	0.394385
Cell_45	4.37299e-08	0.339208	0.00168159	0.659111
Cell_46	6.87884e-10	0.00146967	0.998402	0.000128612
Cell_47	1.56351e-12	0.467324	0.00694143	0.525735
Cell_48	2.30236e-25	0.951728	0.0273739	0.020898
Cell_49	3.54757e-27	0.373954	0.00149559	0.624551
Cell_50	9.98046e-13	0.621813	0.00722784	0.37096
Cell_51	1.03057e-31	0.538093	0.00224079	0.459666
Cell_52	2.7912e-24	0.434864	0.00169838	0.563438
Cell_53	2.28824e-23	0.654532	0.307414	0.0380543
Cell_54	6.65735e-14	0.843081	0.125084	0.0318353
Cell_55	9.43015e-09	0.780151	0.011588	0.208261
Cell_56	2.51916e-17	0.151509	0.814287	0.0342039
Cell_57	4.34894e-18	0.48033	0.00191682	0.517753
Cell_58	6.89426e-18	0.944724	0.00764582	0.0476306
Cell_59	4.09904e-11	0.44091	0.00228628	0.556804
Cell_60	6.50241e-12	0.664995	0.00772978	0.327276
Cell_61	1.36741e-14	0.923724	0.0699225	0.00635376
Cell_62	9.26702e-28	0.376418	0.0167668	0.606815
Cell_63	1.21155e-14	0.866457	0.00414078	0.129402
Cell_64	1.005e-26	0.580459	0.00340684	0.416134
Cell_65	1.56239e-13	0.579116	0.043837	0.377047
Cell_66	4.38951e-24	0.464009	0.00539356	0.530597
Cell_67	1.99031e-17	0.173745	0.0049973	0.821258
Cell_68	2.8264e-06	0.279828	0.00124028	0.718929
Cell_69	1.27162e-14	0.476984	0.00192391	0.521092
Cell_70	7.40488e-25	0.919986	0.00504213	0.0749716
Cell_71	1.15526e-09	0.819875	0.00663539	0.17349
Cell_72	4.90765e-11	0.168819	0.00107867	0.830103
Cell_73	2.45268e-09	0.474824	0.0862347	0.438942
Cell_74	1.45331e-16	0.915977	0.0693362	0.0146865
Cell_75	0.975842	0.0225199	9.24925e-05	0.00154538
Cell_76	1.06553e-29	0.718514	0.00343376	0.278052
Cell_77	2.33891e-16	0.571668	0.00238061	0.425951
Cell_78	1.44068e-18	0.628122	0.00597813	0.3659
Cell_79	0.00470173	0.63528	0.0282972	0.331721
Cell_80	1.51458e-08	0.544488	0.00386597	0.451646
Cell_81	1.47733e-13	0.940643	0.00367183	0.0556852
Cell_82	5.33246e-11	0.606899	0.00290036	0.3902
Cell_83	9.74466e-18	0.426962	0.00272808	0.57031
Cell_84	6.41666e-30	0.424186	0.00165745	0.574157
Cell_85	6.18186e-15	0.0107502	0.985877	0.00337245
Cell_86	2.57707e-21	0.555252	0.0111194	0.433629
Cell_87	0.000194902	0.942287	0.010953	0.0465651
Cell_88	0.979785	0.00924391	0.000699731	0.0102713
Cell_89	2.38513e-18	0.522043	0.00203835	0.475919
Cell_90	3.10085e-14	0.101038	0.000961629	0.898
Cell_91	9.57056e-15	0.842666	0.0375348	0.1198
Cell_92	0.00129627	0.510494	0.0227389	0.465471
Cell_93	8.72514e-17	0.0317937	0.00240666	0.9658
Cell_94	2.86256e-21	0.426983	0.0633492	0.509668
Cell_95	1.69288e-38	0.324421	0.00128298	0.674296
Cell_96	0.992875	0.00665049	2.61304e-05	0.00044833
Cell_97	0.982078	0.00446988	1.78769e-05	0.0134347
Cell_98	9.33975e-16	0.364733	0.00145267	0.633814
Cell_99	1.11713e-21	0.571243	0.00313079	0.425626
Cell_100	1.01428e-08	0.0632828	0.00182016	0.934897
Cell_101	3.35511e-24	0.470275	0.00546639	0.524259
Cell_102	3.69627e-11	0.0318984	0.000141384	0.96796
Cell_103	6.11407e-18	0.677042	0.00323557	0.319722
Cell_104	4.12753e-13	0.755498	0.0217299	0.222772
Cell_105	8.76308e-15	0.325943	0.00127577	0.672782
Cell_106	3.97595e-19	0.665628	0.00295027	0.331421
Cell_107	3.07344e-18	0.446602	0.00663363	0.546765
Cell_108	0.985262	0.00562918	2.41789e-05	0.00908509
Cell_109	2.74387e-18	0.667936	0.00540573	0.326658
Cell_110	1.69413e-18	0.312171	0.00897878	0.67885
Cell_111	4.10554e-21	0.559908	0.00831663	0.431775
Cell_112	6.85189e-23	0.528658	0.00785245	0.46349
Cell_113	1.59485e-43	0.0582999	0.00441309	0.937287
Cell_114	3.70955e-33	0.236971	0.000929594	0.762099
Cell_115	8.10353e-23	0.281723	0.00111102	0.717166
Cell_116	1.42218e-17	0.614714	0.0273812	0.357904
Cell_117	0.992737	0.00653695	3.58268e-05	0.00069025
Cell_118	4.46059e-15	0.174773	0.00203153	0.823196
Cell_119	3.68876e-13	0.650001	0.0964373	0.253562
Cell_120	8.04199e-18	0.217598	0.000948123	0.781454
Cell_121	6.91024e-15	0.182763	0.00073986	0.816497
Cell_122	5.88988e-40	0.704103	0.104464	0.191433
Cell_123	5.11012e-13	0.954583	0.0191163	0.026301
Cell_124	1.67127e-17	0.182566	0.00173757	0.815696
Cell_125	2.13465e-17	0.434017	0.00173581	0.564247
Cell_126	8.53973e-13	0.661016	0.00362281	0.335361
Cell_127	1.08734e-10	0.12826	0.000503511	0.871236
Cell_128	3.26944e-18	0.594948	0.00284324	0.402209
Cell_129	2.45843e-22	0.626628	0.00263226	0.370739
Cell_130	2.4619e-14	0.99506	0.00450181	0.000438468
Cell_131	2.9066e-27	0.62758	0.0931108	0.27931
Cell_132	0.980981	0.00692661	3.4338e-05	0.0120577
Cell_133	1.67545e-16	0.651019	0.00256053	0.34642
Cell_134	2.55266e-13	0.674076	0.00783534	0.318089
Cell_135	0.985992	0.0055788	2.66609e-05	0.0084027
Cell_136	9.632e-09	0.301109	0.00192394	0.696967
Cell_137	2.46518e-28	0.600803	0.0032928	0.395904
Cell_138	1.05626e-20	0.558762	0.00221811	0.43902
Cell_139	2.13019e-12	0.473205	0.00302355	0.523771
Cell_140	0.984952	0.0121807	9.85809e-05	0.00276912
