cell	Node 0	Node 1	Node 2
Cell_0	1.39347e-41	1.5993e-11	1
Cell_1	2.78343e-30	9.80164e-12	1
Cell_2	6.72552e-28	0.989895	0.0101052
Cell_3	6.60529e-31	0.99235	0.00764997
Cell_4	4.90427e-08	0.992064	0.00793582
Cell_5	2.6665e-24	6.3445e-10	1
Cell_6	2.29338e-70	0.00462743	0.995373
Cell_7	9.90893e-42	0.992358	0.00764182
Cell_8	4.40762e-78	4.45573e-12	1
Cell_9	3.1167e-24	0.992415	0.00758534
Cell_10	6.23371e-51	0.992452	0.00754844
Cell_11	1.10891e-39	0.992341	0.00765907
Cell_12	2.6532e-28	0.00225633	0.997744
Cell_13	3.94008e-46	0.992447	0.00755276
Cell_14	6.76528e-27	0.992109	0.00789053
Cell_15	1.26616e-21	0.0285079	0.971492
Cell_16	1.04172e-22	0.99245	0.00754972
Cell_17	8.98554e-39	0.99245	0.0075496
Cell_18	5.21783e-33	0.992438	0.00756249
Cell_19	6.54537e-45	4.02283e-27	1
Cell_20	6.15595e-30	0.992451	0.00754868
Cell_21	3.19999e-27	2.97307e-08	1
Cell_22	2.26719e-24	0.992451	0.00754859
Cell_23	0.998499	0.00148824	1.23331e-05
Cell_24	5.55628e-12	0.992446	0.00755353
Cell_25	7.85796e-22	0.992451	0.00754881
Cell_26	2.77646e-27	0.550011	0.449989
Cell_27	4.25278e-21	0.991536	0.00846388
Cell_28	2.42515e-28	0.0211271	0.978873
Cell_29	4.65374e-30	0.992451	0.00754885
Cell_30	1.33894e-25	0.0681497	0.93185
Cell_31	6.53156e-23	0.992409	0.0075908
Cell_32	5.65784e-23	0.000516021	0.999484
Cell_33	6.80541e-31	3.42535e-07	1
Cell_34	3.90865e-31	0.992451	0.00754906
Cell_35	8.68177e-25	0.974704	0.0252964
Cell_36	1.09176e-40	0.99245	0.00755014
Cell_37	5.13089e-45	0.992343	0.00765702
Cell_38	2.09278e-49	5.56044e-09	1
Cell_39	1.26378e-29	0.992451	0.00754914
Cell_40	1.4324e-48	0.992441	0.00755901
Cell_41	8.21706e-59	0.99245	0.00754989
Cell_42	1.32088e-57	0.99245	0.00755004
Cell_43	3.98633e-18	0.815104	0.184896
Cell_44	4.37779e-34	0.984316	0.0156841
Cell_45	1.00613e-113	0.992452	0.00754841
Cell_46	4.2158e-10	0.992109	0.00789053
Cell_47	1.33533e-46	0.992425	0.00757494
Cell_48	6.65677e-41	0.955067	0.0449335
Cell_49	4.86141e-33	0.992365	0.0076345
Cell_50	6.4615e-25	0.992444	0.00755599
Cell_51	2.01547e-33	6.63387e-06	0.999993
Cell_52	2.97467e-43	0.992451	0.00754894
Cell_53	4.48755e-64	0.992451	0.00754862
Cell_54	4.17565e-50	0.992428	0.00757203
Cell_55	1.23764e-37	0.889613	0.110387
Cell_56	2.13396e-17	0.992229	0.00777095
Cell_57	9.08348e-30	0.992451	0.00754899
Cell_58	0.683166	0.314374	0.0024603
Cell_59	3.48274e-52	0.992451	0.00754935
Cell_60	0.998677	0.00131309	9.98727e-06
Cell_61	2.00318e-36	0.19361	0.80639
Cell_62	2.27002e-50	0.957216	0.042784
Cell_63	6.98882e-71	0.992449	0.00755109
Cell_64	1.09758e-40	0.667757	0.332243
Cell_65	3.12889e-91	0.21313	0.78687
Cell_66	7.12213e-24	0.992452	0.00754845
Cell_67	5.1228e-49	0.992451	0.00754888
Cell_68	4.34817e-49	0.992449	0.00755113
Cell_69	8.18765e-26	0.99245	0.00755006
Cell_70	1.04807e-21	0.992442	0.0075584
Cell_71	1.50632e-36	0.716188	0.283812
Cell_72	1.3969e-57	0.992452	0.00754847
Cell_73	4.36064e-61	0.992451	0.00754854
Cell_74	9.61812e-53	0.992444	0.00755571
Cell_75	6.16125e-29	0.0241657	0.975834
Cell_76	1.38188e-29	0.992451	0.00754862
Cell_77	1.68115e-39	1.46066e-09	1
Cell_78	5.57558e-30	0.992447	0.00755265
Cell_79	4.59017e-57	0.992451	0.00754884
Cell_80	5.17758e-66	0.992432	0.0075678
Cell_81	1.75432e-28	0.992443	0.00755702
Cell_82	1.10087e-62	2.20406e-09	1
Cell_83	3.84395e-50	9.08243e-08	1
Cell_84	4.93563e-11	0.992451	0.00754902
Cell_85	3.60081e-19	0.99004	0.00996025
Cell_86	6.28055e-38	0.992439	0.00756118
Cell_87	2.10273e-27	0.992432	0.00756829
Cell_88	1.5197e-13	0.924908	0.0750923
Cell_89	1.82984e-13	0.992365	0.0076345
Cell_90	4.86593e-22	0.992319	0.00768072
Cell_91	1.5061e-40	0.992451	0.00754854
Cell_92	5.3093e-40	5.14071e-07	0.999999
Cell_93	6.28383e-63	0.992386	0.00761434
Cell_94	1.68533e-29	0.976614	0.0233862
Cell_95	9.84129e-32	0.992451	0.00754891
Cell_96	5.03527e-34	0.992451	0.0075486
Cell_97	5.42319e-54	1.13316e-14	1
Cell_98	7.75002e-57	0.992433	0.00756731
Cell_99	3.5204e-44	0.992452	0.00754848
Cell_100	8.48243e-49	7.90526e-06	0.999992
Cell_101	4.19048e-49	0.992451	0.00754919
Cell_102	2.36569e-33	0.895711	0.104289
Cell_103	0.000468882	0.991985	0.00754643
Cell_104	6.75847e-28	0.785712	0.214288
Cell_105	3.0568e-30	0.992451	0.00754884
Cell_106	3.70958e-46	0.992397	0.00760345
Cell_107	0.998361	0.00162627	1.24481e-05
Cell_108	9.7927e-57	0.992451	0.00754855
Cell_109	1.54416e-26	0.494731	0.505269
Cell_110	2.05971e-63	0.992449	0.00755075
Cell_111	1.88905e-35	0.992452	0.00754848
Cell_112	8.42269e-51	0.99221	0.00779008
Cell_113	5.26626e-52	0.992452	0.00754841
Cell_114	1.39077e-69	0.992448	0.00755181
Cell_115	1.10642e-24	0.988808	0.0111923
Cell_116	5.70872e-46	2.16518e-15	1
Cell_117	9.31312e-24	0.992431	0.00756948
Cell_118	9.30066e-31	0.992409	0.00759079
Cell_119	4.19285e-43	0.99245	0.00754983
Cell_120	1.07195e-66	8.95973e-05	0.99991
Cell_121	8.6927e-61	0.99245	0.00754979
Cell_122	3.85876e-40	0.992451	0.00754882
