cell	Node 0	Node 1
Cell_0	1.40559e-47	1
Cell_1	1.31177e-90	1
Cell_2	5.10242e-72	1
Cell_3	1.2906e-89	1
Cell_4	2.10248e-64	1
Cell_5	8.93202e-52	1
Cell_6	3.97758e-47	1
Cell_7	5.58771e-34	1
Cell_8	1.79975e-80	1
Cell_9	4.08236e-46	1
Cell_10	5.82722e-27	1
Cell_11	2.09584e-70	1
Cell_12	7.61094e-60	1
Cell_13	2.26999e-58	1
Cell_14	1.98708e-25	1
Cell_15	1.96623e-37	1
Cell_16	5.13187e-46	1
Cell_17	1.1533e-85	1
Cell_18	2.1625e-80	1
Cell_19	3.49935e-38	1
Cell_20	2.06287e-66	1
Cell_21	7.8545e-76	1
Cell_22	6.78031e-51	1
Cell_23	1.08752e-53	1
Cell_24	1.20467e-58	1
Cell_25	5.73001e-65	1
Cell_26	3.03535e-73	1
Cell_27	1.54096e-79	1
Cell_28	1.07943e-57	1
Cell_29	6.94628e-89	1
Cell_30	4.52957e-73	1
Cell_31	6.52837e-63	1
Cell_32	1.38036e-56	1
Cell_33	5.69679e-35	1
Cell_34	9.8735e-83	1
Cell_35	7.82835e-73	1
Cell_36	9.59892e-15	1
Cell_37	6.50722e-75	1
Cell_38	2.6737e-52	1
Cell_39	1.00514e-70	1
Cell_40	2.88253e-80	1
Cell_41	1.4631e-49	1
Cell_42	3.36483e-91	1
Cell_43	7.81994e-73	1
Cell_44	8.26945e-80	1
Cell_45	1.62224e-63	1
Cell_46	6.07806e-40	1
Cell_47	0.999125	0.000874925
Cell_48	3.83961e-92	1
Cell_49	2.91648e-111	1
Cell_50	8.2854e-68	1
Cell_51	2.95525e-95	1
Cell_52	5.83478e-60	1
Cell_53	3.69703e-101	1
Cell_54	1.20914e-92	1
Cell_55	6.87901e-84	1
Cell_56	0.00308742	0.996913
Cell_57	1.02773e-12	1
Cell_58	2.20622e-46	1
Cell_59	9.49301e-67	1
Cell_60	3.79543e-56	1
Cell_61	3.53572e-90	1
Cell_62	1.75359e-40	1
Cell_63	4.82853e-33	1
Cell_64	5.20753e-120	1
Cell_65	1.22438e-47	1
Cell_66	7.7153e-44	1
Cell_67	1.58857e-38	1
Cell_68	1.43159e-43	1
Cell_69	4.22473e-60	1
Cell_70	5.80433e-82	1
Cell_71	1.19642e-85	1
Cell_72	3.17681e-46	1
Cell_73	4.29785e-50	1
Cell_74	2.68345e-56	1
Cell_75	3.09924e-49	1
Cell_76	3.37715e-100	1
Cell_77	1.15105e-63	1
Cell_78	1.98594e-62	1
Cell_79	2.36273e-72	1
Cell_80	2.42759e-37	1
Cell_81	5.58452e-11	1
Cell_82	9.7282e-81	1
Cell_83	1.8936e-82	1
Cell_84	9.83828e-114	1
Cell_85	1.50324e-90	1
Cell_86	9.21174e-50	1
Cell_87	3.3849e-43	1
Cell_88	1.21394e-35	1
Cell_89	1.03706e-77	1
Cell_90	1.07774e-34	1
Cell_91	3.10013e-79	1
Cell_92	1.45572e-57	1
Cell_93	1.30752e-14	1
Cell_94	9.20432e-48	1
Cell_95	4.83267e-80	1
Cell_96	3.91243e-81	1
Cell_97	6.38622e-28	1
Cell_98	2.77774e-81	1
Cell_99	3.8485e-58	1
Cell_100	3.19398e-104	1
Cell_101	1.02459e-68	1
Cell_102	1.36271e-40	1
Cell_103	1.50382e-06	0.999998
Cell_104	1.65913e-78	1
Cell_105	6.59684e-69	1
Cell_106	4.39126e-52	1
Cell_107	1.25318e-55	1
Cell_108	1.30536e-52	1
Cell_109	5.60507e-64	1
Cell_110	1.02725e-44	1
Cell_111	5.82268e-46	1
Cell_112	9.1322e-21	1
Cell_113	4.83304e-61	1
Cell_114	1.19372e-43	1
Cell_115	7.28875e-49	1
Cell_116	1.46401e-72	1
Cell_117	4.63525e-86	1
Cell_118	1.25238e-40	1
Cell_119	4.2421e-107	1
Cell_120	9.85403e-71	1
Cell_121	9.26901e-64	1
Cell_122	1.56069e-47	1
Cell_123	1.75423e-08	1
Cell_124	1.67716e-71	1
Cell_125	2.18727e-72	1
Cell_126	2.95873e-64	1
Cell_127	9.0004e-79	1
Cell_128	3.99147e-54	1
Cell_129	1.07424e-52	1
Cell_130	2.74313e-51	1
Cell_131	1.16569e-49	1
Cell_132	4.71264e-14	1
Cell_133	4.86237e-86	1
Cell_134	2.01386e-70	1
Cell_135	1.9759e-29	1
Cell_136	9.48346e-93	1
Cell_137	2.0784e-19	1
Cell_138	9.32311e-104	1
Cell_139	0.997806	0.00219397
Cell_140	1.00748e-25	1
Cell_141	1.90304e-69	1
Cell_142	8.32412e-48	1
Cell_143	3.58394e-05	0.999964
Cell_144	1.34431e-62	1
Cell_145	1.11953e-119	1
Cell_146	1.12108e-87	1
Cell_147	1.50682e-30	1
Cell_148	6.72157e-66	1
Cell_149	1.47834e-52	1
Cell_150	6.00018e-35	1
Cell_151	1.14521e-48	1
Cell_152	2.25645e-35	1
Cell_153	2.04141e-73	1
Cell_154	9.7931e-49	1
Cell_155	2.65782e-64	1
Cell_156	1.1727e-33	1
Cell_157	6.15891e-102	1
Cell_158	2.20846e-76	1
Cell_159	1.20305e-45	1
Cell_160	0.000577483	0.999423
Cell_161	1.73405e-95	1
Cell_162	2.20323e-52	1
Cell_163	2.10253e-15	1
Cell_164	1.86769e-72	1
Cell_165	1.12612e-36	1
Cell_166	5.81204e-42	1
Cell_167	2.76093e-43	1
Cell_168	3.33217e-34	1
Cell_169	5.05476e-108	1
Cell_170	1.06053e-56	1
Cell_171	1.56485e-51	1
Cell_172	4.96211e-73	1
Cell_173	4.22861e-72	1
Cell_174	2.0942e-41	1
Cell_175	9.46315e-134	1
Cell_176	3.38825e-81	1
Cell_177	2.2467e-82	1
Cell_178	1.5055e-65	1
Cell_179	9.71006e-65	1
Cell_180	6.31426e-100	1
Cell_181	6.12306e-83	1
Cell_182	2.88429e-100	1
Cell_183	3.76783e-75	1
Cell_184	5.82961e-76	1
Cell_185	6.57236e-53	1
Cell_186	2.15646e-69	1
Cell_187	2.01622e-60	1
Cell_188	1.48726e-17	1
Cell_189	1.00064e-67	1
Cell_190	1.20327e-58	1
Cell_191	3.36031e-46	1
Cell_192	6.02831e-87	1
Cell_193	2.69807e-107	1
Cell_194	1.35684e-26	1
Cell_195	8.56199e-44	1
Cell_196	5.04476e-48	1
Cell_197	1.33651e-44	1
Cell_198	1.81845e-64	1
Cell_199	0.982394	0.0176063
Cell_200	1.97698e-14	1
Cell_201	2.00245e-60	1
Cell_202	7.17038e-73	1
Cell_203	5.83534e-40	1
Cell_204	3.56136e-55	1
Cell_205	3.07664e-80	1
Cell_206	1.58229e-29	1
Cell_207	1.19511e-70	1
Cell_208	1.98319e-55	1
Cell_209	2.7223e-68	1
Cell_210	5.44884e-44	1
Cell_211	7.76869e-84	1
Cell_212	1.64252e-92	1
Cell_213	1.3976e-72	1
Cell_214	2.63915e-42	1
Cell_215	4.5435e-92	1
Cell_216	2.02654e-62	1
Cell_217	6.90258e-57	1
Cell_218	7.14195e-42	1
Cell_219	5.65421e-17	1
Cell_220	7.49576e-78	1
Cell_221	6.68757e-87	1
Cell_222	1.76288e-103	1
Cell_223	2.07574e-57	1
Cell_224	8.62219e-05	0.999914
Cell_225	0.593478	0.406522
Cell_226	2.32205e-34	1
Cell_227	2.33219e-56	1
Cell_228	2.72153e-75	1
Cell_229	3.33809e-106	1
Cell_230	1.80804e-47	1
Cell_231	8.80462e-62	1
Cell_232	1.71742e-36	1
Cell_233	7.65242e-67	1
Cell_234	3.49068e-78	1
Cell_235	7.54701e-32	1
Cell_236	9.67911e-53	1
Cell_237	4.22499e-79	1
Cell_238	3.50627e-29	1
Cell_239	7.59876e-69	1
Cell_240	1.68053e-57	1
Cell_241	5.98018e-40	1
Cell_242	2.77781e-13	1
Cell_243	1.09083e-07	1
Cell_244	1.48007e-65	1
Cell_245	3.61078e-121	1
Cell_246	1.09715e-31	1
Cell_247	4.94659e-43	1
Cell_248	1.36424e-12	1
Cell_249	1.42411e-99	1
Cell_250	2.17398e-60	1
Cell_251	2.16809e-05	0.999978
Cell_252	1.61404e-22	1
Cell_253	4.61767e-77	1
Cell_254	1.6978e-71	1
Cell_255	1.11745e-74	1
Cell_256	6.48732e-110	1
Cell_257	7.53994e-35	1
Cell_258	1.8368e-28	1
Cell_259	2.18512e-79	1
Cell_260	2.1602e-47	1
Cell_261	6.21561e-71	1
Cell_262	6.49012e-67	1
Cell_263	4.04046e-68	1
Cell_264	2.00505e-85	1
Cell_265	1.77288e-85	1
Cell_266	1.22403e-37	1
Cell_267	1.49375e-40	1
Cell_268	1.70568e-77	1
Cell_269	9.48848e-27	1
Cell_270	1.52079e-67	1
Cell_271	3.58438e-37	1
Cell_272	1.18029e-64	1
Cell_273	1.74617e-116	1
Cell_274	3.47156e-64	1
Cell_275	8.62565e-54	1
Cell_276	5.19793e-34	1
Cell_277	1.08584e-89	1
Cell_278	2.51527e-64	1
Cell_279	3.31709e-128	1
Cell_280	7.34396e-59	1
Cell_281	1.08133e-32	1
Cell_282	8.28061e-50	1
Cell_283	1.64129e-57	1
Cell_284	3.19778e-120	1
Cell_285	3.87291e-29	1
Cell_286	1.11161e-107	1
Cell_287	1.80926e-60	1
Cell_288	3.36045e-85	1
Cell_289	1.43937e-51	1
Cell_290	8.38124e-64	1
Cell_291	6.6917e-81	1
Cell_292	3.46763e-53	1
Cell_293	3.58088e-22	1
Cell_294	2.22524e-43	1
Cell_295	1.57635e-96	1
Cell_296	1.71462e-38	1
Cell_297	1.56995e-118	1
Cell_298	4.47762e-14	1
Cell_299	5.32598e-54	1
Cell_300	1.93068e-42	1
Cell_301	2.9645e-41	1
Cell_302	8.26152e-103	1
Cell_303	1.96911e-43	1
Cell_304	3.5096e-55	1
Cell_305	7.29608e-49	1
Cell_306	3.24966e-09	1
Cell_307	1.56456e-41	1
Cell_308	7.39453e-37	1
Cell_309	2.22266e-59	1
Cell_310	4.25797e-77	1
Cell_311	4.50094e-11	1
Cell_312	6.30536e-47	1
Cell_313	9.18827e-65	1
Cell_314	1.57072e-92	1
Cell_315	0.314195	0.685805
Cell_316	5.41575e-45	1
Cell_317	2.9176e-76	1
Cell_318	6.32191e-81	1
Cell_319	7.3504e-60	1
Cell_320	2.51092e-87	1
Cell_321	2.43865e-53	1
Cell_322	3.2956e-54	1
Cell_323	8.27467e-96	1
Cell_324	1.26124e-80	1
Cell_325	4.958e-07	1
Cell_326	2.09243e-67	1
Cell_327	6.29714e-89	1
Cell_328	2.58142e-106	1
Cell_329	1.13654e-15	1
Cell_330	2.41715e-12	1
Cell_331	4.13523e-58	1
Cell_332	2.35846e-45	1
Cell_333	1.48787e-62	1
Cell_334	8.39328e-96	1
Cell_335	1.05636e-43	1
Cell_336	3.91336e-68	1
Cell_337	1.06405e-30	1
Cell_338	8.45717e-59	1
Cell_339	1.42819e-50	1
Cell_340	2.97532e-52	1
Cell_341	7.29401e-66	1
Cell_342	6.36504e-59	1
Cell_343	2.55937e-58	1
Cell_344	3.07639e-84	1
Cell_345	2.64106e-57	1
Cell_346	3.96747e-69	1
Cell_347	1.75205e-83	1
Cell_348	4.88479e-81	1
Cell_349	3.18532e-48	1
Cell_350	1.73365e-31	1
Cell_351	1.69761e-39	1
Cell_352	3.75573e-90	1
Cell_353	1.01941e-50	1
Cell_354	1.51904e-64	1
Cell_355	1.92209e-37	1
Cell_356	5.69767e-67	1
Cell_357	1.27334e-35	1
Cell_358	1.35461e-73	1
Cell_359	6.39054e-55	1
Cell_360	3.47049e-79	1
Cell_361	1.1017e-83	1
Cell_362	7.91998e-11	1
Cell_363	1.93529e-52	1
Cell_364	5.19646e-69	1
Cell_365	1.57487e-38	1
Cell_366	3.02518e-57	1
Cell_367	2.27337e-104	1
Cell_368	2.0547e-72	1
Cell_369	2.47873e-69	1
Cell_370	5.19125e-63	1
Cell_371	4.19809e-29	1
Cell_372	1.78757e-32	1
Cell_373	4.53735e-53	1
Cell_374	5.11057e-95	1
Cell_375	5.20065e-103	1
Cell_376	2.14454e-60	1
Cell_377	2.13787e-44	1
Cell_378	1.25315e-44	1
Cell_379	2.12933e-51	1
Cell_380	4.12929e-97	1
Cell_381	1.07522e-98	1
Cell_382	1.58836e-75	1
Cell_383	3.06509e-89	1
Cell_384	3.65634e-58	1
Cell_385	3.63576e-30	1
Cell_386	2.26949e-93	1
Cell_387	3.99046e-21	1
Cell_388	5.46417e-33	1
Cell_389	3.96986e-65	1
Cell_390	5.4072e-71	1
Cell_391	5.4513e-54	1
Cell_392	5.64441e-24	1
Cell_393	1.47567e-28	1
Cell_394	4.52317e-117	1
Cell_395	2.63001e-48	1
Cell_396	1.45326e-06	0.999999
Cell_397	3.12775e-71	1
Cell_398	3.99947e-57	1
Cell_399	3.73709e-07	1
Cell_400	3.44115e-67	1
Cell_401	7.59363e-35	1
Cell_402	6.08262e-63	1
Cell_403	3.14503e-73	1
Cell_404	1.33424e-52	1
Cell_405	3.99683e-58	1
Cell_406	8.70476e-47	1
Cell_407	9.83097e-24	1
Cell_408	1.12733e-38	1
Cell_409	9.77928e-89	1
Cell_410	1.72836e-67	1
Cell_411	7.96187e-63	1
Cell_412	2.7142e-73	1
Cell_413	2.57249e-49	1
Cell_414	1.58305e-37	1
Cell_415	5.32915e-81	1
Cell_416	7.9449e-82	1
Cell_417	1.17853e-31	1
Cell_418	1.78159e-83	1
Cell_419	9.44825e-39	1
Cell_420	1.16752e-103	1
Cell_421	1.26907e-140	1
Cell_422	1.2773e-43	1
Cell_423	4.58964e-65	1
Cell_424	1.62854e-61	1
Cell_425	3.22141e-48	1
Cell_426	2.88895e-39	1
Cell_427	3.64952e-49	1
Cell_428	2.44562e-09	1
Cell_429	1.62016e-95	1
Cell_430	1.5558e-31	1
Cell_431	2.65187e-100	1
Cell_432	4.82004e-34	1
Cell_433	5.62314e-67	1
Cell_434	7.86752e-46	1
Cell_435	7.48738e-60	1
Cell_436	4.4669e-88	1
Cell_437	3.44869e-36	1
Cell_438	7.76821e-42	1
Cell_439	1.13042e-33	1
Cell_440	3.25022e-70	1
Cell_441	0.143792	0.856208
Cell_442	2.32894e-93	1
Cell_443	1.72635e-07	1
Cell_444	1.24509e-66	1
Cell_445	1.49299e-87	1
Cell_446	4.90133e-78	1
Cell_447	4.33876e-45	1
Cell_448	7.23123e-60	1
Cell_449	2.67633e-74	1
Cell_450	2.56523e-78	1
Cell_451	8.51305e-58	1
Cell_452	1.83962e-84	1
Cell_453	6.33776e-25	1
Cell_454	2.60852e-123	1
Cell_455	3.06639e-18	1
Cell_456	7.81252e-67	1
Cell_457	8.34853e-31	1
Cell_458	0.00454191	0.995458
Cell_459	3.58884e-79	1
Cell_460	2.07739e-66	1
Cell_461	2.98086e-62	1
Cell_462	4.87031e-98	1
Cell_463	9.20417e-69	1
Cell_464	1.52194e-132	1
Cell_465	6.44695e-117	1
Cell_466	5.14679e-83	1
Cell_467	1.08897e-63	1
Cell_468	8.09614e-96	1
Cell_469	5.96697e-63	1
Cell_470	5.29011e-68	1
Cell_471	1.78291e-58	1
Cell_472	1.55239e-52	1
Cell_473	3.95253e-88	1
Cell_474	1.28031e-55	1
Cell_475	7.56879e-109	1
Cell_476	1.2114e-46	1
Cell_477	4.75523e-19	1
Cell_478	8.45486e-38	1
Cell_479	6.18012e-40	1
Cell_480	2.22695e-79	1
Cell_481	2.40046e-15	1
Cell_482	5.04415e-26	1
Cell_483	4.11322e-15	1
Cell_484	5.38465e-93	1
Cell_485	1.29524e-46	1
Cell_486	5.52757e-74	1
Cell_487	2.40137e-11	1
Cell_488	2.75479e-73	1
Cell_489	8.23034e-74	1
Cell_490	3.61237e-51	1
Cell_491	1.49547e-60	1
Cell_492	2.57779e-09	1
Cell_493	6.5634e-39	1
Cell_494	2.1138e-88	1
Cell_495	1.37415e-95	1
Cell_496	2.88004e-51	1
Cell_497	8.32378e-73	1
Cell_498	1.01663e-46	1
Cell_499	1.08588e-27	1
Cell_500	2.3217e-95	1
Cell_501	1.27e-40	1
Cell_502	2.99264e-44	1
Cell_503	6.62529e-40	1
Cell_504	1.30722e-12	1
Cell_505	5.96042e-99	1
Cell_506	2.53372e-48	1
Cell_507	2.18447e-51	1
Cell_508	9.36671e-67	1
Cell_509	1.27441e-35	1
Cell_510	3.10074e-78	1
Cell_511	9.25132e-66	1
Cell_512	2.52544e-64	1
Cell_513	8.88709e-06	0.999991
Cell_514	3.85548e-71	1
Cell_515	4.94259e-07	1
Cell_516	1.162e-100	1
Cell_517	2.1778e-24	1
Cell_518	1.62391e-79	1
Cell_519	8.16329e-46	1
Cell_520	5.24006e-32	1
Cell_521	1.39511e-50	1
Cell_522	1.97043e-14	1
Cell_523	4.92871e-43	1
Cell_524	2.36871e-48	1
Cell_525	2.07974e-12	1
Cell_526	1.77313e-37	1
Cell_527	2.503e-57	1
Cell_528	8.63346e-13	1
Cell_529	1.1013e-46	1
Cell_530	2.02762e-57	1
Cell_531	3.3685e-81	1
Cell_532	3.05928e-92	1
Cell_533	2.34498e-65	1
Cell_534	2.67035e-55	1
Cell_535	3.05102e-41	1
Cell_536	2.99914e-47	1
Cell_537	1.68445e-64	1
Cell_538	2.6752e-70	1
Cell_539	1.60873e-67	1
Cell_540	3.369e-88	1
Cell_541	1.34107e-70	1
Cell_542	4.11293e-24	1
Cell_543	1.93122e-55	1
Cell_544	1.11338e-47	1
Cell_545	6.67515e-71	1
Cell_546	0.00847101	0.991529
Cell_547	3.05833e-54	1
Cell_548	2.38904e-26	1
Cell_549	0.837494	0.162506
Cell_550	7.13875e-60	1
Cell_551	6.86359e-77	1
Cell_552	3.61626e-77	1
Cell_553	2.43664e-19	1
Cell_554	4.17331e-97	1
Cell_555	1.83176e-86	1
Cell_556	1.00298e-34	1
Cell_557	1.86432e-62	1
Cell_558	9.75424e-70	1
Cell_559	4.50088e-18	1
Cell_560	1.43132e-06	0.999999
Cell_561	2.818e-46	1
Cell_562	8.553e-13	1
Cell_563	1.47677e-73	1
Cell_564	3.51852e-36	1
Cell_565	1.13004e-44	1
Cell_566	1.40457e-91	1
Cell_567	6.30241e-50	1
Cell_568	1.44216e-100	1
Cell_569	3.1131e-59	1
Cell_570	5.27725e-47	1
Cell_571	2.22926e-73	1
Cell_572	1.27911e-97	1
Cell_573	2.08699e-72	1
Cell_574	2.81836e-20	1
Cell_575	4.65235e-63	1
Cell_576	2.60178e-58	1
Cell_577	3.76246e-64	1
Cell_578	5.24137e-44	1
Cell_579	3.06333e-12	1
Cell_580	2.39129e-29	1
