cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_0	0.0188962	0.0006412	0.000138276	0.492852	0.000613467	0.486859
Cell_1	9.24789e-10	0.00130789	0.00560357	3.98891e-10	4.96509e-13	0.993089
Cell_2	0.0177653	0.000604087	0.0599762	0.463356	0.000576764	0.457722
Cell_3	4.16874e-06	1.41457e-07	1.40738e-05	0.998631	0.00124304	0.000107407
Cell_4	0.0177653	0.000603114	0.0599762	0.463356	0.000576764	0.457722
Cell_5	0.0177653	0.000602816	0.0599762	0.463356	0.000576758	0.457723
Cell_6	0.0188962	0.000641477	0.000138903	0.492851	0.000613496	0.486859
Cell_7	0.0185796	0.000630451	0.000136004	0.484594	0.0173583	0.478702
Cell_8	0.00010869	0.00131103	0.000283005	0.00283486	3.52878e-06	0.995459
Cell_9	6.07914e-08	1.06143e-06	0.000105557	0.997846	0.00124204	0.00080558
Cell_10	3.03927e-08	3.66188e-06	0.000364336	0.962379	0.0344728	0.00278051
Cell_11	0.0188962	0.000641301	0.000138281	0.492852	0.000613656	0.486859
Cell_12	0.017485	0.000605597	0.0590298	0.456044	0.0163357	0.450499
Cell_13	3.53536e-05	3.63041e-08	0.792926	0.199852	0.00715879	2.75571e-05
Cell_14	0.0174852	0.000593306	0.0590305	0.45605	0.0163359	0.450505
Cell_15	0.0174852	0.000593869	0.0590305	0.45605	0.0163359	0.450505
Cell_16	0.0188961	0.000643343	0.000138286	0.49285	0.000613729	0.486858
Cell_17	3.02047e-06	2.33269e-09	9.99299e-09	0.998752	0.00124324	1.77094e-06
Cell_18	8.1276e-11	0.00116305	0.115717	3.12178e-11	1.11823e-12	0.88312
Cell_19	0.018847	0.000639515	0.00273997	0.491569	0.000611869	0.485592
Cell_20	4.86409e-07	4.55227e-10	4.52922e-08	0.998756	0.00124321	3.45658e-07
Cell_21	0.018847	0.000639519	0.00273999	0.491569	0.000611869	0.485592
Cell_22	0.018847	0.000639532	0.00274001	0.491569	0.00061187	0.485592
Cell_23	0.0177653	0.000602813	0.0599762	0.463356	0.000576761	0.457723
Cell_24	0.0188961	0.000642015	0.000140304	0.49285	0.000614005	0.486858
Cell_25	0.0188962	0.000641424	0.000138462	0.492851	0.000613588	0.486859
Cell_26	0.0188959	0.000652178	0.000140083	0.492845	0.000614085	0.486853
Cell_27	1.58059e-06	0.0296926	0.00442101	0.182206	0.000226798	0.783452
