cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_0	0.914121	0.00817541	0.0687265	0.00329289	0.0056845
Cell_1	5.44781e-12	1.52598e-07	2.92172e-08	6.14633e-08	1
Cell_2	2.80999e-14	0.0346078	0.00677833	0.0139393	0.944675
Cell_3	1.10671e-10	3.31619e-08	6.36256e-09	1.33569e-08	1
Cell_4	0.0213079	0.000190685	0.978272	7.6804e-05	0.000152997
Cell_5	0.912324	0.00816238	0.0686169	0.00328764	0.00760922
Cell_6	0.976264	0.00873173	0.00187807	0.00351696	0.00960884
Cell_7	0.983593	0.0088422	0.00184455	0.00179948	0.0039207
Cell_8	1.16829e-13	5.39248e-06	1.11163e-06	0.014541	0.985453
Cell_9	0.692738	0.0203495	0.00392002	0.00411503	0.278878
Cell_10	0.0195404	0.0001751	0.980085	7.05265e-05	0.000129257
Cell_11	0.977289	0.0087411	0.00167211	0.00352073	0.00877737
Cell_12	0.540779	0.0158856	0.00331386	0.00639839	0.433623
Cell_13	0.00125991	1.13767e-05	0.998715	4.5823e-06	9.12815e-06
Cell_14	1.99569e-12	3.03892e-09	5.89999e-10	6.16203e-10	1
Cell_15	0.79391	0.00713212	0.00140214	0.00287267	0.194683
Cell_16	0.794468	0.00711428	0.00135622	0.00286548	0.194196
Cell_17	0.977087	0.00879305	0.00174906	0.00354165	0.00882953
Cell_18	0.000228507	2.04477e-06	0.999768	4.10041e-07	1.02225e-06
Cell_19	0.000187033	1.68022e-06	0.999765	6.76757e-07	4.58642e-05
Cell_20	0.793868	0.00713174	0.00145536	0.00287252	0.194672
Cell_21	0.000108802	0.0658392	0.0125946	0.013399	0.908058
Cell_22	0.594061	0.0174508	0.1467	0.00351587	0.238273
Cell_23	0.880625	0.00790655	0.00151533	0.00159884	0.108355
Cell_24	0.914214	0.00819798	0.0689162	0.00330197	0.00536963
Cell_25	0.983621	0.00903942	0.00174131	0.0018212	0.00377725
Cell_26	0.749713	0.00674521	0.0567035	0.00271683	0.184121
Cell_27	0.794324	0.00711412	0.00150498	0.00286542	0.194191
Cell_28	3.37385e-08	0.0346128	0.0066337	0.0139413	0.944812
Cell_29	1.72577e-18	8.45612e-06	1.6176e-06	3.40595e-06	0.999987
Cell_30	0.984649	0.00883152	0.00168041	0.00178589	0.00305314
Cell_31	0.984611	0.00880764	0.00167657	0.00178593	0.00311844
Cell_32	0.54091	0.0158895	0.00307153	0.00639995	0.433729
Cell_33	1.01962e-15	2.93624e-10	5.59744e-11	1.18266e-10	1
Cell_34	1.78232e-20	8.03829e-12	1.5289e-12	3.23765e-12	1
Cell_35	0.0119529	0.000107317	0.986447	2.17014e-05	0.00147072
Cell_36	9.31962e-08	2.73768e-09	5.20711e-10	1.10268e-09	1
Cell_37	0.978366	0.00875283	0.00167435	0.00352546	0.00768125
Cell_38	1.94891e-10	2.18814e-05	4.16188e-06	4.38497e-06	0.99997
Cell_39	0.917095	0.00830568	0.0698215	0.00166186	0.0031159
Cell_40	0.788868	0.00729589	0.001745	0.00293863	0.199153
Cell_41	0.984302	0.00880594	0.0018153	0.0017921	0.00328447
Cell_42	0.98337	0.00879721	0.00167458	0.00176293	0.00439508
Cell_43	0.793781	0.00713096	0.00156436	0.0028722	0.194651
Cell_44	4.62308e-14	0.0346113	0.00667831	0.0139407	0.94477
Cell_45	0.540429	0.0158753	0.00395878	0.00639425	0.433343
Cell_46	2.08808e-07	1.86773e-09	1	3.76903e-10	8.21195e-10
Cell_47	0.980041	0.00878826	0.00167288	0.00353973	0.00595849
Cell_48	0.794662	0.00710765	0.00135297	0.00286281	0.194015
Cell_49	0.979854	0.00878659	0.00181996	0.00353905	0.00600017
Cell_50	0.978234	0.00883807	0.00198521	0.00355979	0.00738315
Cell_51	2.04799e-06	1.83192e-08	0.999998	3.69084e-09	6.53195e-09
Cell_52	0.881359	0.00788535	0.00150038	0.00158869	0.107666
Cell_53	0.983735	0.00880175	0.00168233	0.00181854	0.00396222
Cell_54	0.790507	0.00724615	0.00153291	0.0029186	0.197795
Cell_55	9.83519e-11	0.000268128	5.29971e-05	5.38987e-05	0.999625
Cell_56	0.794153	0.00712112	0.001475	0.00286824	0.194382
Cell_57	0.478469	0.0140552	0.118155	0.00566115	0.38366
Cell_58	0.91754	0.00820669	0.0689894	0.00165609	0.00360828
Cell_59	0.977844	0.00876827	0.00168231	0.00353167	0.00817405
Cell_60	1.45275e-10	4.06929e-06	8.03422e-07	1.63903e-06	0.999993
Cell_61	0.880609	0.00787864	0.00150374	0.00159964	0.108409
Cell_62	0.984577	0.00880588	0.00168186	0.00181036	0.00312523
Cell_63	0.979872	0.00876362	0.0016716	0.0035298	0.00616343
Cell_64	0.881248	0.00790494	0.00156834	0.00158904	0.10769
Cell_65	9.91774e-07	8.87171e-09	0.999999	3.57334e-09	7.41126e-09
Cell_66	0.0013165	3.86728e-05	0.000325102	7.77394e-06	0.998312
Cell_67	0.750274	0.00673009	0.0565764	0.00271074	0.183708
Cell_68	2.3964e-08	7.03954e-10	1.34358e-10	4.9347e-06	0.999995
Cell_69	0.983417	0.00879487	0.00179476	0.0018081	0.00418484
Cell_70	0.880093	0.00789174	0.00196794	0.00160021	0.108447
Cell_71	5.26009e-08	9.39594e-07	1.80078e-07	1.91217e-07	0.999999
Cell_72	2.50328e-11	2.25023e-08	4.62899e-09	9.06345e-09	1
Cell_73	1.92403e-08	0.0667103	0.0133096	0.0133775	0.906603
Cell_74	0.540882	0.0158887	0.00312364	0.00639961	0.433706
Cell_75	0.976091	0.00873062	0.00205441	0.00351651	0.00960761
Cell_76	0.880461	0.00790508	0.00170027	0.00159855	0.108335
Cell_77	2.51615e-14	0.000418619	8.10873e-05	0.000168611	0.999332
Cell_78	0.912274	0.00816704	0.0686561	0.00328951	0.00761357
Cell_79	0.793947	0.00713245	0.0013566	0.0028728	0.194691
Cell_80	1.59705e-10	4.69139e-12	9.22308e-13	1.88959e-12	1
Cell_81	0.880896	0.00788822	0.0015173	0.00159514	0.108104
