cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_0	0.565657	0.000365837	1.74376e-27	0.376817	0.0571604
Cell_1	1.93608e-12	1	1.79466e-44	3.06053e-14	1.95644e-13
Cell_2	1.06105e-14	1	1.23289e-14	1.71418e-16	1.0722e-15
Cell_3	3.93322e-11	1	2.53524e-37	6.22999e-13	3.97457e-12
Cell_4	0.00245802	1.90644e-06	8.3049e-25	0.997292	0.000248386
Cell_5	0.565571	0.000517898	8.26603e-20	0.37676	0.0571517
Cell_6	0.892999	0.000977854	1.26362e-17	0.0157846	0.0902387
Cell_7	3.70718e-20	3.51333e-23	1	6.36287e-22	2.0197e-22
Cell_8	2.84336e-10	1	3.30387e-10	4.82484e-12	3.58336e-07
Cell_9	0.265071	0.421428	0.308002	0.00421474	0.00128394
Cell_10	0.00225345	1.63354e-06	3.64837e-27	0.997517	0.000227714
Cell_11	1.04805e-17	1.03676e-20	1	1.65533e-19	1.05907e-18
Cell_12	0.258395	0.410814	0.300245	0.00443499	0.0261112
Cell_13	0.000143992	1.34369e-07	0.000167313	0.999674	1.45506e-05
Cell_14	3.57055e-13	1	1.0205e-44	5.72002e-15	1.82173e-15
Cell_15	0.4325	0.0142346	0.502548	0.0070124	0.0437047
Cell_16	2.95957e-14	9.09206e-16	1	4.65899e-16	2.99069e-15
Cell_17	3.24749e-19	3.66257e-22	1	5.32491e-21	3.28164e-20
Cell_18	2.58607e-05	2.58518e-08	3.50027e-23	0.999974	1.04879e-07
Cell_19	2.12497e-05	6.99377e-07	2.46913e-05	0.999951	2.14731e-06
Cell_20	0.43239	0.014231	0.50242	0.00726614	0.0436935
Cell_21	2.16873e-05	0.999953	2.51998e-05	3.42535e-07	1.18154e-07
Cell_22	0.226117	0.359496	0.26274	0.15063	0.00101658
Cell_23	2.95957e-14	9.6235e-16	1	4.6829e-16	1.43354e-16
Cell_24	0.565656	0.000361347	5.21723e-06	0.376817	0.0571603
Cell_25	1.30252e-20	1.69992e-23	1	2.07107e-22	5.85591e-23
Cell_26	0.337483	0.011455	0.392142	0.224817	0.0341031
Cell_27	0.432669	0.0133388	0.502744	0.00752678	0.0437217
Cell_28	1.27926e-08	1	1.81019e-25	2.02415e-10	1.29271e-09
Cell_29	6.13237e-19	1	2.12384e-48	9.68562e-21	6.19684e-20
Cell_30	0.458043	0.00031207	0.532228	0.00719757	0.00221865
Cell_31	0.978971	0.000644748	1.3354e-26	0.0153894	0.00499482
Cell_32	6.15006e-13	9.77777e-13	1	9.81147e-15	6.21472e-14
Cell_33	3.6236e-16	1	4.94291e-42	5.7043e-18	3.6617e-17
Cell_34	6.34187e-21	1	4.62926e-48	9.96179e-23	6.40855e-22
Cell_35	0.00137147	4.45955e-05	0.0015936	0.996984	6.64307e-06
Cell_36	4.66289e-08	1	1.37923e-38	7.32444e-10	4.71191e-09
Cell_37	3.70718e-20	3.16592e-23	1	5.85523e-22	3.74616e-21
Cell_38	3.44613e-11	1	4.06475e-14	5.41318e-13	1.37592e-13
Cell_39	0.598471	0.000549611	5.36144e-24	0.398677	0.00230279
Cell_40	2.95957e-14	1.57172e-15	1	5.79515e-16	2.99069e-15
Cell_41	1.92467e-21	1.34566e-24	1	3.26595e-23	1.04858e-23
Cell_42	1.00249e-18	9.96086e-22	1	1.57591e-20	4.00257e-21
Cell_43	0.432163	0.0142235	0.502157	0.00778549	0.0436707
Cell_44	1.75297e-14	1	2.03688e-14	2.79168e-16	1.7714e-15
Cell_45	0.25818	0.410472	0.299995	0.00526353	0.0260894
Cell_46	2.36167e-08	2.00842e-11	4.15325e-28	1	1.09756e-10
Cell_47	0.894905	0.000595759	8.16281e-29	0.0140679	0.0904313
Cell_48	0.433154	0.0129592	0.503307	0.00680917	0.0437707
Cell_49	0.893839	0.000600143	1.61398e-28	0.015237	0.0903236
Cell_50	4.68909e-21	4.63162e-24	1	8.64199e-23	4.73839e-22
Cell_51	2.3164e-07	1.54886e-10	1.46979e-32	1	1.04141e-09
Cell_52	6.15006e-13	1.85201e-14	1	9.66405e-15	2.76496e-15
Cell_53	1.81652e-18	1.55485e-21	1	2.86681e-20	1.25288e-20
Cell_54	0.42969	0.020131	0.499283	0.00747497	0.0434208
Cell_55	1.74511e-11	1	2.43605e-36	2.84408e-13	7.47452e-14
Cell_56	2.95957e-14	9.36646e-16	1	5.04511e-16	2.99069e-15
Cell_57	0.221286	0.351815	0.257126	0.147412	0.0223613
Cell_58	0.598209	0.000508104	1.05202e-20	0.398502	0.00278011
Cell_59	1.0825e-19	1.04176e-22	1	1.71461e-21	1.09388e-20
Cell_60	5.16294e-11	1	5.99913e-11	8.40528e-13	5.21722e-12
Cell_61	0.451863	0.0136073	0.525047	0.00712146	0.00236134
Cell_62	1.33738e-28	8.65726e-32	1	2.10913e-30	8.58313e-31
Cell_63	0.894888	0.000586896	1.22071e-26	0.0140952	0.0904297
Cell_64	2.95957e-14	9.43926e-16	1	4.84078e-16	1.26762e-16
Cell_65	1.12179e-07	9.02959e-11	3.79021e-29	1	1.13359e-08
Cell_66	0.000329111	0.99945	1.02485e-28	0.00021924	1.40963e-06
Cell_67	0.337716	0.0107711	0.392413	0.224973	0.0341267
Cell_68	0.000123923	0.593859	4.18699e-26	1.95306e-06	0.406015
Cell_69	0.976439	0.000885914	1.4271e-19	0.0164087	0.00626665
Cell_70	1.64933e-11	5.21981e-13	1	3.3625e-13	8.41508e-14
Cell_71	9.44986e-09	1	3.19283e-30	1.49524e-10	5.14835e-11
Cell_72	8.8979e-12	1	4.45364e-31	1.50682e-13	8.99145e-13
Cell_73	3.7852e-09	1	4.39825e-09	6.2245e-11	1.53511e-11
Cell_74	0.258459	0.410914	0.300319	0.00419055	0.0261176
Cell_75	0.891724	0.000977569	1.26182e-17	0.0171884	0.0901099
Cell_76	0.451061	0.0146669	0.524115	0.00797292	0.00218482
Cell_77	8.94816e-15	1	1.57363e-34	1.43035e-16	9.04223e-16
Cell_78	0.565566	0.000525229	7.655e-19	0.376757	0.0571512
Cell_79	0.432595	0.0142377	0.502658	0.00679518	0.0437143
Cell_80	7.99064e-11	1	1.91568e-39	1.29557e-12	8.07465e-12
Cell_81	1.31067e-13	4.02648e-15	1	2.08107e-15	6.34855e-16
Cell_82	0.000340594	0.999619	1.06061e-28	6.13586e-06	3.44175e-05
Cell_83	0.000143992	4.36044e-06	0.000167313	0.99967	1.45505e-05
Cell_84	0.432736	0.0130642	0.502822	0.00764902	0.0437286
Cell_85	5.87619e-05	3.96927e-08	3.72853e-30	0.999935	5.93797e-06
Cell_86	0.976446	0.000828112	1.71719e-20	0.0179959	0.00472966
Cell_87	3.66419e-05	0.999917	4.25765e-05	5.78278e-07	3.70272e-06
Cell_88	0.565546	0.000560959	3.75082e-17	0.376744	0.0571492
